index,average,min,max,std_dev,window
1,862542.801,862542.801,862542.801,0.0,1
2,862542.785,862542.772,862542.809,0.01054,10
3,862542.791,862542.757,862542.835,0.02214,10
4,862542.779,862542.762,862542.826,0.02045,10
5,862542.785,862542.773,862542.806,0.01054,10
6,862542.79,862542.77,862542.808,0.01079,10
7,862542.784,862542.763,862542.81,0.01349,10
8,862542.782,862542.754,862542.823,0.0188,10
9,862542.771,862542.755,862542.789,0.01165,10
10,862542.788,862542.775,862542.812,0.01167,10
11,862542.786,862542.762,862542.827,0.02236,10
12,862542.777,862542.754,862542.831,0.02276,10
13,862542.788,862542.77,862542.814,0.01368,10
14,862542.777,862542.768,862542.793,0.00851,10
15,862542.779,862542.763,862542.816,0.01665,10
16,862542.769,862542.747,862542.779,0.00821,10
17,862542.784,862542.773,862542.801,0.01113,10
18,862542.795,862542.784,862542.807,0.00685,10
19,862542.805,862542.792,862542.818,0.00814,10
20,862542.801,862542.771,862542.82,0.01411,10
21,862542.805,862542.771,862542.833,0.01664,10
22,862542.784,862542.746,862542.836,0.02904,10
23,862542.79,862542.75,862542.834,0.02867,10
24,862542.778,862542.75,862542.828,0.02708,10
25,862542.804,862542.785,862542.82,0.01226,10
26,862542.797,862542.752,862542.856,0.03011,10
27,862542.775,862542.749,862542.848,0.03184,10
28,862542.781,862542.746,862542.828,0.03087,10
29,862542.793,862542.774,862542.817,0.0139,10
30,862542.805,862542.775,862542.833,0.0192,10
31,862542.791,862542.76,862542.816,0.01993,10
32,862542.78,862542.751,862542.824,0.02554,10
33,862542.801,862542.782,862542.828,0.01549,10
34,862542.81,862542.753,862542.852,0.02766,10
35,862542.784,862542.749,862542.829,0.02172,10
36,862542.8,862542.781,862542.824,0.01194,10
37,862542.8,862542.776,862542.825,0.01553,10
38,862542.793,862542.778,862542.816,0.01226,10
39,862542.803,862542.78,862542.821,0.01211,10
40,862542.804,862542.785,862542.814,0.00734,10
41,862542.792,862542.749,862542.84,0.0291,10
42,862542.795,862542.749,862542.834,0.02444,10
43,862542.789,862542.773,862542.815,0.01383,10
44,862542.785,862542.763,862542.835,0.02498,10
45,862542.796,862542.77,862542.816,0.01374,10
46,862542.802,862542.765,862542.833,0.02128,10
47,862542.777,862542.751,862542.821,0.02425,10
48,862542.803,862542.777,862542.824,0.01311,10
49,862542.799,862542.766,862542.835,0.01888,10
50,862542.787,862542.749,862542.833,0.03385,10
51,862542.796,862542.756,862542.843,0.02796,10
52,862542.783,862542.756,862542.817,0.02107,10
53,862542.79,862542.769,862542.836,0.02,10
54,862542.796,862542.774,862542.831,0.01612,10
55,862542.801,862542.774,862542.837,0.02086,10
56,862542.797,862542.77,862542.832,0.01803,10
57,862542.803,862542.792,862542.823,0.00853,10
58,862542.794,862542.752,862542.851,0.03278,10
59,862542.802,862542.757,862542.839,0.02865,10
60,862542.794,862542.759,862542.825,0.02344,10
61,862542.799,862542.763,862542.832,0.02141,10
62,862542.802,862542.76,862542.843,0.02304,10
63,862542.801,862542.754,862542.854,0.03456,10
64,862542.78,862542.759,862542.838,0.02683,10
65,862542.787,862542.749,862542.825,0.02097,10
66,862542.805,862542.771,862542.869,0.03434,10
67,862542.801,862542.766,862542.862,0.03387,10
68,862542.796,862542.755,862542.825,0.02376,10
69,862542.793,862542.752,862542.933,0.05188,10
70,862542.773,862542.734,862542.827,0.03008,10
71,862542.781,862542.734,862542.843,0.02845,10
72,862542.789,862542.758,862542.827,0.01933,10
73,862542.781,862542.748,862542.825,0.02379,10
74,862542.791,862542.736,862542.82,0.02302,10
75,862542.773,862542.747,862542.814,0.02284,10
76,862542.774,862542.744,862542.833,0.02582,10
77,862542.787,862542.766,862542.832,0.01853,10
78,862542.773,862542.74,862542.799,0.02402,10
79,862542.777,862542.733,862542.838,0.02926,10
80,862542.777,862542.745,862542.798,0.01479,10
81,862542.78,862542.732,862542.841,0.03407,10
82,862542.765,862542.732,862542.818,0.02493,10
83,862542.798,862542.783,862542.838,0.0145,10
84,862542.779,862542.741,862542.838,0.03095,10
85,862542.781,862542.749,862542.81,0.0189,10
86,862542.77,862542.737,862542.791,0.01861,10
87,862542.774,862542.737,862542.801,0.01647,10
88,862542.785,862542.733,862542.818,0.02289,10
89,862542.808,862542.756,862542.925,0.04653,10
90,862542.786,862542.763,862542.802,0.01326,10
91,862542.792,862542.766,862542.865,0.03203,10
92,862542.795,862542.776,862542.817,0.01158,10
93,862542.799,862542.77,862542.864,0.02655,10
94,862542.798,862542.769,862542.835,0.02195,10
95,862542.799,862542.753,862542.838,0.02798,10
96,862542.798,862542.751,862542.85,0.03439,10
97,862542.782,862542.756,862542.816,0.02151,10
98,862542.791,862542.772,862542.811,0.01185,10
99,862542.796,862542.77,862542.821,0.01573,10
100,862542.791,862542.775,862542.809,0.01041,10
101,862542.792,862542.762,862542.832,0.02426,10
102,862542.797,862542.755,862542.838,0.02575,10
103,862542.798,862542.762,862542.822,0.01972,10
104,862542.799,862542.754,862542.87,0.0369,10
105,862542.78,862542.752,862542.821,0.02479,10
106,862542.803,862542.758,862542.867,0.032,10
107,862542.785,862542.759,862542.81,0.01781,10
108,862542.809,862542.765,862542.864,0.03238,10
109,862542.789,862542.764,862542.843,0.02398,10
110,862542.791,862542.76,862542.831,0.02462,10
111,862542.794,862542.76,862542.84,0.02691,10
112,862542.794,862542.759,862542.849,0.02527,10
113,862542.828,862542.754,862543.113,0.10153,10
114,862543.016,862542.754,862543.673,0.30978,10
115,862543.385,862542.761,862544.075,0.48705,10
116,862543.747,862543.113,862544.075,0.34595,10
117,862543.975,862543.673,862544.084,0.11616,10
118,862543.99,862543.876,862544.084,0.07564,10
119,862543.994,862543.876,862544.084,0.07913,10
120,862544.011,862543.876,862544.084,0.07268,10
121,862544.002,862543.904,862544.072,0.06224,10
122,862544.026,862543.904,862544.214,0.08637,10
123,862543.985,862543.843,862544.214,0.09996,10
124,862544.004,862543.843,862544.214,0.10831,10
125,862544.011,862543.843,862544.214,0.10441,10
126,862544.007,862543.889,862544.188,0.09716,10
127,862544.005,862543.889,862544.188,0.08812,10
128,862544.04,862543.889,862544.188,0.08433,10
129,862544.021,862543.889,862544.092,0.06969,10
130,862544.044,862543.971,862544.092,0.03763,10
131,862544.031,862543.944,862544.121,0.0506,10
132,862544.03,862543.944,862544.144,0.06176,10
133,862544.034,862543.917,862544.18,0.08352,10
134,862544.036,862543.917,862544.18,0.08439,10
135,862544.026,862543.917,862544.181,0.08725,10
136,862544.019,862543.937,862544.181,0.06941,10
137,862544.022,862543.937,862544.181,0.06701,10
138,862544.026,862543.952,862544.181,0.06429,10
139,862544.04,862543.952,862544.292,0.09149,10
140,862544.075,862543.962,862544.292,0.09703,10
141,862544.074,862543.962,862544.292,0.09756,10
142,862544.08,862543.978,862544.292,0.09383,10
143,862544.038,862543.89,862544.191,0.07384,10
144,862544.01,862543.89,862544.102,0.06349,10
145,862543.995,862543.89,862544.083,0.05387,10
146,862544.015,862543.908,862544.141,0.05409,10
147,862544.022,862543.925,862544.141,0.05175,10
148,862544.003,862543.871,862544.141,0.06968,10
149,862544.006,862543.871,862544.088,0.06507,10
150,862544.008,862543.871,862544.088,0.06485,10
151,862544.048,862543.968,862544.088,0.03658,10
152,862544.07,862544.019,862544.118,0.0284,10
153,862544.042,862543.905,862544.118,0.07065,10
154,862544.01,862543.884,862544.118,0.08077,10
155,862544.003,862543.884,862544.1,0.07628,10
156,862543.99,862543.884,862544.119,0.07584,10
157,862544.022,862543.884,862544.119,0.0672,10
158,862544.037,862543.937,862544.131,0.06781,10
159,862544.024,862543.937,862544.131,0.05793,10
160,862544.027,862543.937,862544.131,0.05509,10
161,862544.053,862543.937,862544.232,0.08571,10
162,862544.062,862543.982,862544.232,0.076,10
163,862544.063,862543.969,862544.232,0.07752,10
164,862544.015,862543.921,862544.113,0.05106,10
165,862544.014,862543.898,862544.113,0.0692,10
166,862544.007,862543.898,862544.113,0.06752,10
167,862544.02,862543.898,862544.178,0.07704,10
168,862544.05,862543.951,862544.178,0.0701,10
169,862544.049,862543.901,862544.178,0.08672,10
170,862544.021,862543.901,862544.175,0.08258,10
171,862544.027,862543.901,862544.175,0.08565,10
172,862544.009,862543.901,862544.153,0.07807,10
173,862544.039,862543.931,862544.157,0.08016,10
174,862544.053,862543.931,862544.157,0.07515,10
175,862544.052,862543.941,862544.157,0.05794,10
176,862544.023,862543.827,862544.156,0.08535,10
177,862544.026,862543.827,862544.156,0.08576,10
178,862544.002,862543.827,862544.156,0.10111,10
179,862543.993,862543.839,862544.156,0.093,10
180,862543.987,862543.839,862544.178,0.10076,10
181,862544.013,862543.876,862544.178,0.08527,10
182,862544.011,862543.92,862544.178,0.07758,10
183,862544.002,862543.92,862544.143,0.06354,10
184,862543.996,862543.91,862544.143,0.06403,10
185,862544.008,862543.91,862544.143,0.06247,10
186,862544.028,862543.91,862544.143,0.06955,10
187,862544.025,862543.875,862544.151,0.08053,10
188,862544.041,862543.875,862544.151,0.07693,10
189,862544.011,862543.875,862544.151,0.07968,10
190,862544.02,862543.904,862544.151,0.07114,10
191,862543.984,862543.904,862544.075,0.05701,10
192,862543.975,862543.848,862544.105,0.06946,10
193,862543.979,862543.848,862544.105,0.0748,10
194,862543.984,862543.848,862544.105,0.07928,10
195,862543.984,862543.795,862544.095,0.09217,10
196,862543.994,862543.795,862544.168,0.10244,10
197,862544.037,862543.795,862544.168,0.10925,10
198,862544.047,862543.905,862544.168,0.08663,10
199,862544.053,862543.936,862544.149,0.06526,10
200,862544.034,862543.936,862544.103,0.05999,10
201,862544.025,862543.931,862544.103,0.06103,10
202,862543.999,862543.908,862544.103,0.06719,10
203,862544.003,862543.908,862544.162,0.07744,10
204,862544.015,862543.908,862544.162,0.07263,10
205,862544.034,862543.943,862544.162,0.06624,10
206,862544.057,862543.943,862544.162,0.07083,10
207,862544.061,862543.943,862544.153,0.06674,10
208,862544.074,862543.971,862544.153,0.05857,10
209,862544.1,862544.0,862544.218,0.06033,10
210,862544.081,862543.996,862544.218,0.06874,10
211,862544.065,862543.962,862544.218,0.0757,10
212,862544.071,862543.962,862544.218,0.07194,10
213,862544.065,862543.962,862544.135,0.05678,10
214,862544.019,862543.786,862544.134,0.09069,10
215,862544.008,862543.786,862544.185,0.10583,10
