index,average,min,max,std_dev,window
1,862542.652,862542.631,862542.676,0.01413,8
2,862542.686,862542.674,862542.714,0.01168,10
3,862542.669,862542.66,862542.684,0.00721,10
4,862542.677,862542.654,862542.717,0.0222,10
5,862542.662,862542.651,862542.697,0.01508,10
6,862542.671,862542.654,862542.694,0.01197,10
7,862542.677,862542.655,862542.695,0.01232,10
8,862542.674,862542.655,862542.72,0.02091,10
9,862542.664,862542.638,862542.693,0.01566,10
10,862542.654,862542.637,862542.672,0.01087,10
11,862542.673,862542.66,862542.706,0.01581,10
12,862542.673,862542.649,862542.702,0.02265,10
13,862542.672,862542.651,862542.728,0.02873,10
14,862542.676,862542.657,862542.704,0.01513,10
15,862542.659,862542.652,862542.671,0.00624,10
16,862542.663,862542.653,862542.702,0.01666,10
17,862542.656,862542.636,862542.665,0.00819,10
18,862542.668,862542.657,862542.687,0.01079,10
19,862542.684,862542.669,862542.703,0.0098,10
20,862542.691,862542.682,862542.699,0.00507,10
21,862542.686,862542.67,862542.711,0.01238,10
22,862542.691,862542.659,862542.732,0.01906,10
23,862542.67,862542.636,862542.707,0.02354,10
24,862542.68,862542.641,862542.724,0.03014,10
25,862542.665,862542.634,862542.73,0.02747,10
26,862542.685,862542.671,862542.7,0.01108,10
27,862542.685,862542.642,862542.748,0.03047,10
28,862542.662,862542.633,862542.722,0.03072,10
29,862542.666,862542.635,862542.714,0.02738,10
30,862542.679,862542.657,862542.715,0.01746,10
31,862542.692,862542.66,862542.732,0.02293,10
32,862542.673,862542.647,862542.701,0.01575,10
33,862542.671,862542.635,862542.71,0.02161,10
34,862542.683,862542.663,862542.707,0.01452,10
35,862542.692,862542.643,862542.736,0.02492,10
36,862542.676,862542.644,862542.716,0.02166,10
37,862542.684,862542.67,862542.705,0.00974,10
38,862542.685,862542.661,862542.708,0.01517,10
39,862542.677,862542.664,862542.694,0.0091,10
40,862542.683,862542.658,862542.696,0.01178,10
41,862542.691,862542.675,862542.712,0.01027,10
42,862542.679,862542.641,862542.728,0.03104,10
43,862542.677,862542.638,862542.731,0.02603,10
44,862542.677,862542.657,862542.72,0.0197,10
45,862542.668,862542.646,862542.711,0.02191,10
46,862542.679,862542.659,862542.695,0.01154,10
47,862542.685,862542.648,862542.707,0.01927,10
48,862542.665,862542.638,862542.707,0.02138,10
49,862542.687,862542.665,862542.705,0.01147,10
50,862542.684,862542.656,862542.716,0.01701,10
51,862542.672,862542.634,862542.715,0.02954,10
52,862542.683,862542.649,862542.726,0.02529,10
53,862542.672,862542.653,862542.712,0.02144,10
54,862542.676,862542.646,862542.705,0.01889,10
55,862542.68,862542.655,862542.71,0.01613,10
56,862542.682,862542.658,862542.718,0.02161,10
57,862542.684,862542.656,862542.701,0.01349,10
58,862542.685,862542.676,862542.695,0.00679,10
59,862542.677,862542.628,862542.729,0.0346,10
60,862542.687,862542.643,862542.723,0.02386,10
61,862542.675,862542.649,862542.705,0.0191,10
62,862542.679,862542.65,862542.706,0.01791,10
63,862542.685,862542.656,862542.723,0.01971,10
64,862542.688,862542.644,862542.735,0.03152,10
65,862542.665,862542.64,862542.712,0.02421,10
66,862542.672,862542.632,862542.706,0.02357,10
67,862542.689,862542.657,862542.746,0.03163,10
68,862542.684,862542.653,862542.72,0.02533,10
69,862542.679,862542.636,862542.733,0.02827,10
70,862542.673,862542.631,862542.705,0.02689,10
71,862542.682,862542.649,862542.713,0.02637,10
72,862542.685,862542.653,862542.728,0.02442,10
73,862542.681,862542.659,862542.709,0.01913,10
74,862542.681,862542.651,862542.702,0.01877,10
75,862542.683,862542.667,862542.703,0.0119,10
76,862542.676,862542.644,862542.71,0.02096,10
77,862542.691,862542.647,862542.734,0.02787,10
78,862542.678,862542.655,862542.708,0.0174,10
79,862542.685,862542.647,862542.72,0.02123,10
80,862542.685,862542.648,862542.729,0.0272,10
81,862542.672,862542.651,862542.707,0.01553,10
82,862542.68,862542.646,862542.727,0.02734,10
83,862542.673,862542.642,862542.705,0.02501,10
84,862542.686,862542.668,862542.72,0.01607,10
85,862542.687,862542.657,862542.724,0.02671,10
86,862542.664,862542.633,862542.686,0.01632,10
87,862542.69,862542.646,862542.764,0.03565,10
88,862542.678,862542.646,862542.738,0.02626,10
89,862542.678,862542.656,862542.709,0.0168,10
90,862542.684,862542.648,862542.724,0.02629,10
91,862542.668,862542.654,862542.687,0.01114,10
92,862542.676,862542.654,862542.721,0.02261,10
93,862542.68,862542.664,862542.697,0.01099,10
94,862542.688,862542.653,862542.741,0.02872,10
95,862542.687,862542.655,862542.726,0.02276,10
96,862542.682,862542.649,862542.72,0.025,10
97,862542.686,862542.639,862542.73,0.03083,10
98,862542.665,862542.64,862542.707,0.0228,10
99,862542.678,862542.654,862542.694,0.01298,10
100,862542.683,862542.656,862542.718,0.01826,10
101,862542.677,862542.658,862542.698,0.01136,10
102,862542.675,862542.646,862542.709,0.0207,10
103,862542.682,862542.645,862542.714,0.02585,10
104,862542.687,862542.659,862542.734,0.02278,10
105,862542.687,862542.636,862542.75,0.03533,10
106,862542.67,862542.64,862542.705,0.02672,10
107,862542.694,862542.65,862542.747,0.03083,10
108,862542.669,862542.646,862542.695,0.01614,10
109,862542.697,862542.664,862542.732,0.02477,10
110,862542.682,862542.657,862542.723,0.01785,10
111,862542.677,862542.649,862542.723,0.02571,10
112,862542.685,862542.646,862542.753,0.0316,10
113,862542.679,862542.648,862542.734,0.02555,10
114,862542.682,862542.638,862542.74,0.03234,10
115,862542.705,862542.678,862542.739,0.01808,10
116,862542.728,862542.685,862542.764,0.02572,10
