index,average,min,max,std_dev,window
1,10.144,0.077,0.115,0.01027,12
2,9.865,0.042,0.166,0.02203,22
3,10.057,0.042,0.166,0.01972,33
4,9.986,0.042,0.166,0.01811,43
5,10.003,0.042,0.166,0.01719,54
6,10.008,0.042,0.166,0.01725,65
7,9.912,0.042,0.176,0.01838,75
8,9.863,0.042,0.176,0.01781,85
9,9.866,0.042,0.176,0.01856,95
10,9.846,0.037,0.196,0.0224,105
11,9.824,0.037,0.196,0.02214,115
12,9.862,0.037,0.196,0.02137,126
13,9.873,0.037,0.196,0.02126,137
14,9.814,0.037,0.196,0.02133,146
15,9.805,0.037,0.196,0.02072,156
16,9.815,0.037,0.196,0.02026,167
17,9.769,0.037,0.207,0.02145,177
18,9.788,0.037,0.207,0.02126,188
19,9.798,0.037,0.207,0.02132,199
20,9.795,0.037,0.207,0.02158,210
21,9.806,0.033,0.207,0.0226,221
22,9.829,0.031,0.207,0.02283,232
23,9.839,0.031,0.207,0.02316,243
24,9.823,0.031,0.207,0.02358,253
25,9.849,0.031,0.207,0.0248,264
26,9.849,0.031,0.207,0.02451,274
27,9.851,0.031,0.207,0.02453,284
28,9.871,0.031,0.207,0.02459,295
29,9.88,0.031,0.207,0.0245,306
30,9.864,0.031,0.207,0.02431,316
31,9.86,0.031,0.207,0.0243,326
32,9.881,0.0,0.207,0.02494,337
33,9.877,0.0,0.207,0.02479,348
34,9.894,0.0,0.207,0.02464,359
35,9.889,0.0,0.207,0.02446,369
36,9.892,0.0,0.207,0.02419,380
37,9.899,0.0,0.207,0.024,391
38,9.901,0.0,0.207,0.02432,401
39,9.899,0.0,0.207,0.02423,411
40,9.874,0.0,0.207,0.02459,420
41,9.885,0.0,0.207,0.0246,431
42,9.88,0.0,0.207,0.02452,441
43,9.895,0.0,0.207,0.02477,452
44,9.886,0.0,0.207,0.02462,462
45,9.888,0.0,0.207,0.02447,473
46,9.889,0.0,0.207,0.02482,483
47,9.904,0.0,0.207,0.0251,494
48,9.899,0.0,0.207,0.0251,504
49,9.908,0.0,0.207,0.0251,515
50,9.908,0.0,0.207,0.02505,525
51,9.908,0.0,0.207,0.02508,535
52,9.908,0.0,0.207,0.02502,545
