index,delta
1,-98.30799999996088
2,-78.51000000000931
3,-98.35000000009313
4,-98.33500000007916
5,-98.2730000000447
6,-98.3169999999227
7,-98.30299999995623
8,-98.28700000001118
9,-98.27899999998044
10,-98.32200000004377
11,-98.30799999996088
12,-98.31099999998696
13,-98.32300000009127
14,-98.37099999992643
15,-98.34600000001956
16,-98.26900000008754
17,-98.35800000000745
18,-98.40099999995437
19,-98.42099999997299
20,-98.39399999997113
21,-98.27100000006612
22,-98.4429999999702
23,-98.6030000000028
24,-98.73400000005495
25,-79.09599999990314
26,-98.98200000007637
27,-19.57900000002701
28,0.07999999995809048
29,0.12800000002607703
30,0.06900000001769513
31,0.1600000000325963
32,0.0020000000949949026
33,0.027000000001862645
34,0.0849999999627471
35,0.10899999993853271
36,0.09799999999813735
37,0.14800000004470348
38,0.1130000000121072
39,0.11299999989569187
40,0.11100000003352761
41,0.11699999996926636
42,0.12600000004749745
43,0.10400000005029142
44,0.14199999999254942
45,0.10099999990779907
46,0.10599999991245568
47,0.11099999991711229
48,0.11600000003818423
49,0.12199999997392297
50,0.11400000005960464
51,0.0990000000456348
52,0.1369999999878928
53,0.1600000000325963
54,0.0969999999506399
55,0.12900000007357448
56,0.106000000028871
57,0.12400000006891787
58,0.11900000006426126
59,0.09799999999813735
60,0.09399999992456287
61,0.10400000005029142
62,0.10199999995529652
63,0.1039999999338761
64,0.10900000005494803
65,0.11199999996460974
66,0.13299999991431832
67,0.1369999999878928
68,0.10499999998137355
69,0.11499999999068677
70,0.12599999993108213
71,0.13300000003073364
72,0.09799999999813735
73,0.13300000003073364
74,0.12599999993108213
75,0.08600000001024455
76,0.10800000000745058
77,0.11400000005960464
78,0.11400000005960464
79,0.12200000009033829
80,0.10800000000745058
81,0.12600000004749745
82,0.15299999993294477
83,0.11699999996926636
84,0.1340000000782311
85,0.12100000004284084
86,0.11799999990034848
87,0.10700000007636845
88,0.10699999995995313
89,0.11400000005960464
90,0.1300000000046566
91,0.12400000006891787
92,0.09100000001490116
93,0.11499999999068677
94,0.11100000003352761
95,0.08199999993667006
96,0.1180000000167638
97,0.12699999997857958
98,0.12199999997392297
99,0.09899999992921948
100,0.09700000006705523
101,0.10999999998603016
102,0.11900000006426126
103,0.11499999999068677
104,0.0940000000409782
105,0.10300000000279397
106,0.11100000003352761
107,0.125
108,0.10999999998603016
109,0.09999999997671694
110,0.1130000000121072
111,0.14500000001862645
112,0.106000000028871
113,0.12800000002607703
114,0.2240000000456348
115,0.31700000003911555
116,0.4649999999674037
117,0.603000000002794
118,0.771999999997206
119,0.8819999999832362
120,1.0419999998994172
121,1.090000000083819
122,1.0829999999841675
123,1.0729999999748543
124,1.1019999999552965
125,1.0869999999413267
126,1.09699999995064
127,1.090000000083819
128,1.099999999976717
129,1.0960000000195578
130,1.0609999999869615
131,1.103999999933876
132,1.084999999962747
133,1.0860000000102445
134,1.0919999999459833
135,1.0670000000391155
136,1.1010000000242144
137,1.0919999999459833
138,1.0640000000130385
139,1.1080000000074506
140,1.0730000000912696
141,1.0750000000698492
142,1.1300000000046566
143,1.065999999991618
144,1.0970000000670552
145,1.0949999999720603
146,1.0690000000176951
147,1.103000000002794
148,1.0929999999934807
149,1.0679999999701977
150,1.0690000000176951
151,1.077999999979511
152,1.0979999999981374
153,1.0979999999981374
154,1.1190000000642613
155,1.0690000000176951
156,1.0960000000195578
157,1.0690000000176951
158,1.0879999999888241
159,1.0929999999934807
160,1.084999999962747
161,1.137999999918975
162,1.0679999999701977
163,1.084999999962747
164,1.0869999999413267
165,1.0989999999292195
166,1.106000000028871
167,1.0860000000102445
168,1.0760000000009313
169,1.0730000000912696
170,1.081000000005588
171,1.1059999999124557
172,1.0929999999934807
173,1.0990000000456348
174,1.0920000000623986
175,1.0929999999934807
176,1.0889999999199063
177,1.0960000000195578
178,1.0649999999441206
179,1.0949999999720603
180,1.1130000000121072
181,1.0770000000484288
182,1.0740000000223517
183,1.103999999933876
184,1.0679999999701977
185,1.0820000000530854
186,1.1000000000931323
187,1.1019999999552965
188,1.0640000000130385
189,1.0699999999487773
190,1.0909999998984858
191,1.0899999999674037
192,1.081000000005588
193,1.099999999976717
194,1.0799999999580905
195,1.0929999999934807
196,1.0799999999580905
197,1.1000000000931323
198,1.0920000000623986
199,1.0879999999888241
200,1.0869999999413267
201,1.1140000000596046
202,1.0829999999841675
203,1.1130000000121072
204,1.077999999979511
205,1.1190000000642613
206,1.0700000000651926
207,1.0970000000670552
208,1.087000000057742
209,1.081000000005588
210,1.1019999999552965
211,1.1160000000381842
212,1.0719999999273568
213,1.0239999999757856
214,1.0689999999012798
215,1.0879999999888241
216,1.1210000000428408
217,1.0730000000912696
218,1.0910000000149012
219,1.09699999995064
220,1.0950000000884756
221,1.1890000000130385
