index,average,min,max,std_dev,window
1,863371.844,863371.666,863372.085,0.15109,6
2,863371.766,863371.6,863372.085,0.15422,10
3,863371.732,863371.6,863372.008,0.11726,10
4,863371.705,863371.6,863372.008,0.1089,10
5,863371.759,863371.66,863372.265,0.17121,10
6,863371.726,863371.613,863371.892,0.07227,10
7,863371.736,863371.613,863371.948,0.10374,10
8,863371.752,863371.613,863372.003,0.13375,10
9,863371.779,863371.646,863372.152,0.16971,10
10,863371.711,863371.596,863371.919,0.10289,10
11,863371.731,863371.596,863372.069,0.1356,10
12,863371.731,863371.634,863372.069,0.11928,10
13,863371.722,863371.603,863371.984,0.10127,10
14,863371.702,863371.603,863371.984,0.10585,10
15,863371.698,863371.612,863371.818,0.06124,10
16,863371.776,863371.635,863372.076,0.1349,10
17,863371.735,863371.617,863372.076,0.12784,10
18,863371.694,863371.604,863371.769,0.05345,10
19,863371.701,863371.604,863371.815,0.06449,10
20,863371.81,863371.604,863372.347,0.21603,10
21,863372.007,863371.641,863372.435,0.27589,10
22,863371.939,863371.722,863372.435,0.25375,10
23,863371.812,863371.722,863372.085,0.10165,10
24,863371.82,863371.728,863372.085,0.09965,10
25,863371.783,863371.679,863371.935,0.07017,10
26,863371.84,863371.679,863372.14,0.12149,10
27,863549.52,863372.14,863569.363,59.1269,10
28,863569.14,863569.07,863569.232,0.05296,10
29,863569.135,863569.091,863569.176,0.02203,10
30,863569.139,863569.111,863569.223,0.03087,10
31,863569.192,863569.093,863569.283,0.05687,10
32,863569.104,863569.07,863569.171,0.03132,10
33,863569.09,863569.067,863569.141,0.02143,10
34,863569.073,863569.048,863569.104,0.0151,10
35,863569.075,863569.043,863569.138,0.02941,10
36,863569.068,863569.042,863569.104,0.01738,10
37,863569.099,863569.061,863569.14,0.03052,10
38,863569.079,863569.054,863569.116,0.02077,10
39,863569.075,863569.046,863569.127,0.02103,10
40,863569.089,863569.071,863569.105,0.01173,10
41,863569.093,863569.068,863569.115,0.01477,10
42,863569.101,863569.059,863569.169,0.03305,10
43,863569.081,863569.055,863569.128,0.02533,10
44,863569.095,863569.063,863569.138,0.02431,10
45,863569.08,863569.066,863569.109,0.01309,10
46,863569.075,863569.064,863569.088,0.00873,10
47,863569.073,863569.052,863569.093,0.01122,10
48,863569.062,863569.041,863569.087,0.01404,10
49,863569.068,863569.059,863569.081,0.00722,10
50,863569.079,863569.058,863569.105,0.01355,10
51,863569.077,863569.057,863569.128,0.02125,10
52,863569.102,863569.066,863569.191,0.04615,10
53,863569.115,863569.063,863569.234,0.05191,10
54,863569.071,863569.062,863569.088,0.00884,10
55,863569.084,863569.056,863569.117,0.0225,10
56,863569.073,863569.058,863569.111,0.01585,10
57,863569.091,863569.067,863569.114,0.01191,10
58,863569.087,863569.069,863569.114,0.01583,10
59,863569.076,863569.05,863569.142,0.02771,10
60,863569.073,863569.052,863569.111,0.01998,10
61,863569.077,863569.042,863569.103,0.01949,10
62,863569.068,863569.04,863569.132,0.02949,10
63,863569.073,863569.05,863569.104,0.01824,10
64,863569.081,863569.057,863569.151,0.02555,10
65,863569.071,863569.06,863569.094,0.01098,10
66,863569.075,863569.062,863569.094,0.01028,10
67,863569.093,863569.059,863569.152,0.02916,10
68,863569.081,863569.045,863569.143,0.02698,10
69,863569.08,863569.059,863569.098,0.01098,10
70,863569.088,863569.048,863569.141,0.02569,10
71,863569.106,863569.053,863569.15,0.03449,10
72,863569.075,863569.057,863569.09,0.01134,10
73,863569.104,863569.053,863569.164,0.03559,10
74,863569.09,863569.063,863569.136,0.01941,10
75,863569.062,863569.049,863569.076,0.00904,10
76,863569.073,863569.051,863569.111,0.01958,10
77,863569.079,863569.064,863569.1,0.01102,10
78,863569.086,863569.065,863569.163,0.02912,10
79,863569.099,863569.057,863569.15,0.03399,10
80,863569.085,863569.061,863569.142,0.0271,10
81,863569.087,863569.06,863569.128,0.01839,10
82,863569.124,863569.088,863569.203,0.03507,10
83,863569.079,863569.055,863569.133,0.01953,10
84,863569.084,863569.06,863569.105,0.01481,10
85,863569.089,863569.053,863569.153,0.0328,10
86,863569.092,863569.059,863569.17,0.03492,10
87,863569.084,863569.065,863569.101,0.01102,10
88,863569.091,863569.052,863569.156,0.03528,10
89,863569.096,863569.052,863569.138,0.03228,10
90,863569.094,863569.04,863569.167,0.04782,10
91,863569.087,863569.068,863569.115,0.01327,10
92,863569.067,863569.058,863569.075,0.00595,10
93,863569.076,863569.058,863569.09,0.01074,10
94,863569.086,863569.06,863569.107,0.01463,10
95,863569.075,863569.051,863569.103,0.01475,10
96,863569.085,863569.064,863569.113,0.01543,10
97,863569.095,863569.067,863569.15,0.02359,10
98,863569.083,863569.059,863569.108,0.01452,10
99,863569.075,863569.049,863569.12,0.02162,10
100,863569.072,863569.047,863569.097,0.01504,10
101,863569.076,863569.06,863569.113,0.01575,10
102,863569.091,863569.064,863569.137,0.02174,10
103,863569.088,863569.054,863569.151,0.02769,10
104,863569.083,863569.052,863569.13,0.02138,10
105,863569.072,863569.05,863569.088,0.01246,10
106,863569.078,863569.056,863569.108,0.01448,10
107,863569.085,863569.054,863569.141,0.0247,10
108,863569.08,863569.056,863569.105,0.01541,10
109,863569.076,863569.052,863569.141,0.02935,10
110,863569.08,863569.049,863569.139,0.0284,10
111,863569.113,863569.075,863569.199,0.03752,10
112,863569.078,863569.064,863569.101,0.01259,10
113,863569.108,863569.066,863569.168,0.03641,10
114,863569.199,863569.151,863569.246,0.02875,10
115,863569.3,863569.212,863569.42,0.06303,10
116,863569.434,863569.344,863569.517,0.05148,10
117,863569.579,863569.504,863569.712,0.0624,10
118,863569.749,863569.697,863569.788,0.02609,10
119,863569.846,863569.778,863569.949,0.05489,10
120,863570.016,863569.949,863570.086,0.04292,10
121,863570.072,863570.003,863570.12,0.03172,10
122,863570.062,863569.997,863570.107,0.03673,10
123,863570.061,863570.008,863570.109,0.03287,10
124,863570.075,863570.013,863570.117,0.03342,10
125,863570.07,863570.004,863570.116,0.03412,10
126,863570.078,863570.008,863570.137,0.03937,10
127,863570.077,863570.014,863570.106,0.02756,10
128,863570.081,863570.016,863570.128,0.03264,10
129,863570.091,863570.02,863570.147,0.03313,10
130,863570.042,863569.993,863570.123,0.04564,10
131,863570.083,863570.036,863570.151,0.02893,10
132,863570.061,863570.004,863570.134,0.03692,10
133,863570.063,863570.005,863570.141,0.04469,10
134,863570.073,863570.007,863570.138,0.03859,10
135,863570.066,863570.006,863570.13,0.03986,10
136,863570.074,863570.008,863570.142,0.04344,10
137,863570.076,863569.995,863570.121,0.0365,10
138,863570.044,863569.995,863570.126,0.0436,10
139,863570.089,863570.016,863570.157,0.04688,10
140,863570.045,863569.989,863570.113,0.03857,10
141,863570.055,863569.989,863570.113,0.03785,10
142,863570.093,863570.008,863570.166,0.04866,10
143,863570.041,863570.002,863570.098,0.03393,10
144,863570.069,863570.002,863570.207,0.06019,10
145,863570.075,863569.997,863570.147,0.05182,10
146,863570.056,863570.004,863570.116,0.03985,10
147,863570.08,863570.01,863570.125,0.02942,10
148,863570.08,863570.03,863570.124,0.02768,10
149,863570.052,863569.987,863570.103,0.04424,10
150,863570.057,863570.003,863570.109,0.04265,10
151,863570.068,863570.009,863570.122,0.0377,10
152,863570.073,863570.043,863570.122,0.02831,10
153,863570.073,863570.047,863570.102,0.01515,10
154,863570.086,863570.027,863570.114,0.02505,10
155,863570.062,863569.987,863570.123,0.04009,10
156,863570.076,863570.032,863570.137,0.033,10
157,863570.058,863570.01,863570.109,0.02959,10
158,863570.066,863570.014,863570.145,0.03527,10
159,863570.066,863570.018,863570.109,0.03359,10
160,863570.065,863570.0,863570.116,0.03476,10
161,863570.117,863570.04,863570.23,0.0579,10
162,863570.053,863570.001,863570.132,0.04182,10
163,863570.058,863569.982,863570.093,0.03231,10
164,863570.065,863569.997,863570.117,0.03859,10
165,863570.083,863570.021,863570.17,0.0374,10
166,863570.087,863570.004,863570.162,0.04257,10
167,863570.08,863570.001,863570.162,0.04217,10
168,863570.062,863570.024,863570.154,0.03886,10
169,863570.062,863570.011,863570.096,0.02721,10
170,863570.066,863570.011,863570.102,0.02858,10
171,863570.075,863570.028,863570.118,0.03345,10
172,863570.079,863570.026,863570.112,0.02771,10
173,863570.084,863570.027,863570.121,0.02833,10
174,863570.084,863570.045,863570.145,0.03185,10
175,863570.069,863570.015,863570.106,0.03431,10
176,863570.085,863570.038,863570.132,0.03193,10
177,863570.082,863570.049,863570.115,0.02226,10
178,863570.053,863570.001,863570.114,0.03613,10
179,863570.068,863570.003,863570.106,0.0283,10
180,863570.083,863570.024,863570.175,0.04475,10
181,863570.081,863570.044,863570.128,0.03031,10
182,863570.066,863570.008,863570.121,0.03237,10
183,863570.083,863570.003,863570.135,0.03581,10
184,863570.065,863569.987,863570.153,0.05469,10
185,863570.057,863570.002,863570.119,0.03386,10
186,863570.067,863570.018,863570.109,0.03085,10
187,863570.081,863570.018,863570.111,0.03131,10
188,863570.053,863570.013,863570.098,0.03243,10
189,863570.051,863570.013,863570.096,0.03068,10
190,863570.07,863570.001,863570.151,0.04778,10
191,863570.076,863570.01,863570.149,0.04704,10
192,863570.068,863570.001,863570.122,0.03878,10
193,863570.084,863570.016,863570.169,0.04248,10
194,863570.063,863570.003,863570.163,0.04314,10
195,863570.078,863570.018,863570.11,0.02508,10
196,863570.059,863570.003,863570.11,0.036,10
197,863570.077,863570.003,863570.16,0.04952,10
198,863570.074,863569.995,863570.11,0.03993,10
199,863570.069,863570.006,863570.11,0.02826,10
200,863570.063,863569.995,863570.134,0.03652,10
201,863570.084,863570.024,863570.145,0.03166,10
202,863570.069,863570.019,863570.097,0.02147,10
203,863570.081,863570.005,863570.156,0.04185,10
204,863570.059,863570.002,863570.096,0.0296,10
205,863570.086,863570.029,863570.122,0.02323,10
206,863570.062,863570.021,863570.107,0.02785,10
207,863570.077,863570.0,863570.153,0.04401,10
208,863570.069,863570.014,863570.153,0.04182,10
209,863570.07,863569.997,863570.112,0.03723,10
210,863570.093,863570.023,863570.191,0.04822,10
211,863570.103,863570.008,863570.179,0.05585,10
212,863570.051,863569.994,863570.111,0.04118,10
213,863570.01,863569.997,863570.049,0.01405,10
214,863570.043,863570.013,863570.082,0.0277,10
215,863570.061,863569.995,863570.091,0.03485,10
216,863570.074,863570.011,863570.11,0.02825,10
217,863570.062,863570.011,863570.095,0.03021,10
218,863570.074,863570.038,863570.096,0.01804,10
219,863570.083,863570.01,863570.106,0.02534,10
220,863570.082,863570.01,863570.179,0.04319,10
221,863570.155,863570.05,863570.222,0.04719,10
