index,average,min,max,std_dev,window
1,863470.152,863371.149,863569.141,98.97766,10
2,863450.276,863371.093,863569.062,96.97052,10
3,863470.082,863371.096,863569.084,98.97425,10
4,863470.04,863371.063,863569.032,98.96893,10
5,863470.032,863371.048,863569.022,98.97247,10
6,863470.043,863371.058,863569.035,98.97191,10
7,863470.039,863371.059,863569.022,98.97154,10
8,863470.039,863371.062,863569.036,98.97211,10
9,863470.058,863371.084,863569.055,98.96822,10
10,863470.033,863371.034,863569.025,98.97056,10
11,863470.039,863371.046,863569.03,98.96868,10
12,863470.042,863371.068,863569.025,98.96618,10
13,863470.045,863371.056,863569.032,98.96956,10
14,863470.073,863371.085,863569.071,98.96923,10
15,863470.044,863371.07,863569.025,98.96797,10
16,863470.045,863371.063,863569.024,98.9703,10
17,863470.093,863371.09,863569.103,98.9736,10
18,863470.095,863371.091,863569.104,98.97842,10
19,863470.122,863371.116,863569.148,98.9681,10
20,863470.204,863371.174,863569.207,98.98049,10
21,863470.278,863371.256,863569.267,98.97741,10
22,863470.382,863371.392,863569.37,98.97094,10
23,863470.415,863371.388,863569.543,98.99597,10
24,863470.554,863371.452,863569.6,98.98847,10
25,863450.879,863371.6,863569.776,96.99946,10
26,863470.822,863371.669,863569.938,98.97809,10
27,863569.099,863568.999,863569.226,0.07429,10
28,863569.06,863568.997,863569.13,0.03898,10
29,863569.007,863568.967,863569.071,0.02625,10
30,863569.07,863569.019,863569.147,0.04268,10
31,863569.032,863569.016,863569.052,0.01216,10
32,863569.102,863569.029,863569.139,0.03449,10
33,863569.063,863569.001,863569.125,0.04001,10
34,863568.988,863568.97,863569.013,0.01535,10
35,863568.966,863568.935,863569.012,0.02757,10
36,863568.97,863568.929,863569.024,0.02927,10
37,863568.951,863568.932,863569.007,0.02573,10
38,863568.966,863568.929,863569.034,0.03839,10
39,863568.962,863568.929,863569.019,0.02649,10
40,863568.978,863568.932,863569.043,0.04206,10
41,863568.976,863568.94,863569.022,0.02383,10
42,863568.975,863568.964,863569.02,0.01539,10
43,863568.977,863568.943,863569.019,0.02675,10
44,863568.953,863568.93,863569.005,0.02328,10
45,863568.979,863568.928,863569.038,0.04374,10
46,863568.969,863568.93,863569.01,0.03197,10
47,863568.962,863568.953,863568.977,0.00653,10
48,863568.946,863568.939,863568.962,0.00606,10
49,863568.946,863568.929,863569.001,0.01906,10
50,863568.965,863568.935,863568.985,0.0182,10
51,863568.978,863568.944,863569.012,0.02052,10
52,863568.965,863568.93,863569.034,0.03544,10
53,863568.955,863568.945,863568.963,0.00481,10
54,863568.974,863568.936,863569.031,0.03369,10
55,863568.955,863568.937,863568.977,0.0128,10
56,863568.967,863568.932,863569.013,0.0258,10
57,863568.967,863568.932,863569.016,0.03147,10
58,863568.968,863568.937,863569.002,0.02352,10
59,863568.978,863568.94,863569.006,0.0227,10
60,863568.979,863568.933,863569.045,0.03625,10
61,863568.973,863568.944,863569.015,0.02427,10
62,863568.966,863568.938,863569.018,0.02492,10
63,863568.969,863568.93,863569.033,0.03005,10
64,863568.972,863568.935,863569.003,0.02584,10
65,863568.959,863568.928,863569.056,0.03739,10
66,863568.942,863568.937,863568.947,0.00323,10
67,863568.956,863568.944,863568.991,0.01565,10
68,863568.976,863568.93,863569.117,0.0587,10
69,863568.965,863568.932,863569.013,0.03095,10
70,863568.962,863568.931,863569.009,0.02924,10
71,863568.973,863568.935,863569.022,0.0281,10
72,863568.977,863568.934,863569.045,0.03888,10
73,863568.971,863568.935,863568.999,0.02141,10
74,863568.964,863568.933,863569.033,0.02955,10
75,863568.976,863568.941,863569.039,0.03143,10
76,863568.965,863568.945,863569.002,0.01604,10
77,863568.965,863568.94,863569.006,0.0213,10
78,863568.972,863568.955,863568.99,0.01017,10
79,863568.977,863568.959,863569.006,0.01624,10
80,863568.977,863568.94,863569.027,0.03459,10
81,863568.961,863568.93,863569.039,0.03489,10
82,863568.971,863568.926,863569.043,0.03762,10
83,863568.962,863568.941,863568.996,0.02175,10
84,863568.95,863568.933,863568.993,0.01593,10
85,863568.968,863568.939,863569.009,0.02539,10
86,863568.974,863568.93,863569.036,0.03486,10
87,863568.977,863568.932,863569.061,0.04134,10
88,863568.984,863568.957,863569.005,0.01659,10
89,863568.982,863568.937,863569.05,0.0308,10
90,863568.964,863568.936,863569.008,0.02835,10
91,863568.963,863568.935,863569.003,0.02302,10
92,863568.976,863568.959,863568.991,0.01098,10
93,863568.961,863568.954,863568.971,0.00554,10
94,863568.975,863568.944,863569.002,0.02047,10
95,863568.993,863568.974,863569.012,0.01077,10
96,863568.967,863568.942,863568.993,0.0185,10
97,863568.968,863568.935,863569.008,0.02585,10
98,863568.961,863568.926,863569.02,0.02854,10
99,863568.976,863568.93,863569.018,0.02828,10
100,863568.975,863568.936,863569.032,0.03191,10
101,863568.966,863568.938,863569.011,0.02554,10
102,863568.972,863568.944,863569.01,0.01782,10
103,863568.973,863568.93,863569.047,0.03431,10
104,863568.989,863568.958,863569.037,0.02173,10
105,863568.969,863568.932,863569.021,0.02617,10
106,863568.967,863568.934,863569.001,0.02045,10
107,863568.96,863568.934,863569.004,0.02512,10
108,863568.97,863568.944,863569.023,0.02341,10
109,863568.976,863568.953,863569.011,0.01771,10
110,863568.967,863568.936,863569.03,0.03031,10
111,863568.968,863568.939,863569.033,0.02876,10
112,863568.972,863568.934,863569.055,0.03626,10
113,863568.98,863568.95,863569.013,0.02226,10
114,863568.975,863568.964,863569.007,0.01428,10
115,863568.983,863568.941,863569.042,0.03568,10
116,863568.969,863568.951,863569.017,0.02323,10
117,863568.976,863568.937,863569.018,0.02496,10
118,863568.977,863568.946,863569.006,0.02011,10
119,863568.964,863568.943,863569.007,0.02116,10
120,863568.974,863568.944,863569.017,0.02862,10
121,863568.982,863568.955,863569.007,0.01781,10
122,863568.979,863568.964,863569.024,0.01802,10
123,863568.988,863568.956,863569.025,0.02267,10
124,863568.973,863568.952,863569.019,0.02194,10
125,863568.983,863568.945,863569.022,0.02573,10
126,863568.981,863568.96,863569.017,0.01664,10
127,863568.987,863568.966,863569.02,0.01811,10
128,863568.981,863568.947,863569.025,0.02313,10
129,863568.995,863568.941,863569.041,0.02917,10
130,863568.981,863568.95,863569.011,0.02075,10
131,863568.979,863568.948,863569.024,0.02423,10
132,863568.976,863568.937,863569.007,0.02227,10
133,863568.977,863568.953,863569.045,0.02559,10
134,863568.981,863568.947,863569.033,0.02794,10
135,863568.999,863568.95,863569.039,0.028,10
136,863568.973,863568.94,863569.036,0.03078,10
137,863568.984,863568.946,863569.051,0.03145,10
138,863568.98,863568.946,863568.996,0.01771,10
139,863568.981,863568.942,863569.023,0.02783,10
140,863568.972,863568.932,863569.052,0.03769,10
141,863568.98,863568.944,863569.035,0.02864,10
142,863568.963,863568.943,863569.022,0.02554,10
143,863568.975,863568.942,863569.011,0.02394,10
144,863568.972,863568.955,863569.012,0.01723,10
145,863568.98,863568.958,863568.997,0.01105,10
146,863568.987,863568.948,863569.046,0.03187,10
147,863568.977,863568.961,863568.988,0.0098,10
148,863568.987,863568.967,863569.017,0.01526,10
149,863568.984,863568.963,863569.031,0.02428,10
150,863568.988,863568.948,863569.023,0.02182,10
151,863568.99,863568.955,863569.015,0.02082,10
152,863568.975,863568.946,863569.015,0.02047,10
153,863568.975,863568.945,863569.018,0.02322,10
154,863568.967,863568.949,863568.981,0.00845,10
155,863568.993,863568.97,863569.016,0.01218,10
156,863568.98,863568.941,863569.023,0.02813,10
157,863568.989,863568.95,863569.045,0.0284,10
158,863568.978,863568.949,863569.012,0.02062,10
159,863568.973,863568.945,863569.044,0.03307,10
160,863568.98,863568.947,863569.019,0.02546,10
161,863568.979,863568.953,863569.005,0.01402,10
162,863568.985,863568.945,863569.017,0.02555,10
163,863568.973,863568.937,863569.002,0.01848,10
164,863568.978,863568.948,863569.036,0.02933,10
165,863568.984,863568.955,863569.023,0.02256,10
166,863568.981,863568.941,863569.01,0.01886,10
167,863568.994,863568.95,863569.028,0.0275,10
168,863568.986,863568.96,863569.007,0.01431,10
169,863568.989,863568.947,863569.048,0.02893,10
170,863568.985,863568.957,863569.014,0.01746,10
171,863568.969,863568.939,863568.99,0.01868,10
172,863568.986,863568.95,863569.016,0.02254,10
173,863568.985,863568.965,863569.003,0.00916,10
174,863568.992,863568.974,863569.012,0.01083,10
175,863568.976,863568.944,863569.016,0.02248,10
176,863568.996,863568.982,863569.013,0.00846,10
177,863568.986,863568.948,863569.016,0.0251,10
178,863568.988,863568.945,863569.043,0.03191,10
179,863568.973,863568.951,863569.012,0.01731,10
180,863568.97,863568.95,863569.005,0.01839,10
181,863569.004,863568.957,863569.073,0.03193,10
182,863568.992,863568.952,863569.048,0.02908,10
183,863568.979,863568.954,863569.033,0.02759,10
184,863568.997,863568.981,863569.013,0.00846,10
185,863568.975,863568.938,863569.03,0.03371,10
186,863568.967,863568.949,863569.015,0.02447,10
187,863568.979,863568.953,863569.01,0.0145,10
188,863568.989,863568.967,863569.011,0.01156,10
189,863568.981,863568.962,863569.009,0.01456,10
190,863568.979,863568.959,863568.997,0.00946,10
191,863568.986,863568.943,863569.031,0.0294,10
192,863568.987,863568.945,863569.021,0.02447,10
193,863568.984,863568.961,863569.038,0.02484,10
194,863568.983,863568.954,863569.011,0.01772,10
195,863568.985,863568.961,863569.038,0.02515,10
196,863568.979,863568.968,863568.988,0.00497,10
197,863568.977,863568.945,863569.017,0.02164,10
198,863568.982,863568.952,863569.041,0.02948,10
199,863568.981,863568.951,863569.009,0.01858,10
200,863568.976,863568.954,863569.006,0.01709,10
201,863568.97,863568.948,863569.031,0.02654,10
