index,average,min,max,std_dev,window
1,7.586,0.0,0.255,0.09523,8
2,5.135,0.0,0.508,0.1518,11
3,4.597,0.0,0.715,0.18497,16
4,4.674,0.0,0.715,0.1626,22
5,4.882,0.0,0.715,0.15085,28
6,4.733,0.0,0.715,0.14689,32
7,4.537,0.0,0.715,0.15742,36
8,4.659,0.0,0.715,0.153,42
9,4.557,0.0,0.715,0.15081,47
10,4.695,0.0,0.715,0.14305,54
11,4.751,0.0,0.715,0.14168,60
12,4.84,0.0,0.715,0.13705,66
13,4.702,0.0,0.715,0.13868,71
14,4.81,0.0,0.715,0.13862,78
15,4.975,0.0,0.715,0.13527,86
16,4.873,0.0,0.715,0.14378,90
17,4.783,0.0,0.715,0.14235,94
18,4.789,0.0,0.715,0.14504,99
19,4.77,0.0,0.715,0.14248,104
20,4.816,0.0,0.715,0.14051,110
21,4.898,0.0,0.715,0.13815,118
22,4.666,0.0,1.728,0.19406,125
23,4.961,0.0,1.728,0.18919,138
24,5.126,0.0,1.728,0.18454,148
25,5.29,0.0,1.728,0.18023,158
26,5.398,0.0,1.728,0.17653,167
27,5.589,0.0,1.728,0.17313,179
28,5.721,0.0,1.728,0.16941,189
29,5.866,0.0,1.728,0.16577,200
30,6.001,0.0,1.728,0.16233,211
31,6.109,0.0,1.728,0.15929,221
32,6.213,0.0,1.728,0.1565,231
33,6.303,0.0,1.728,0.15367,241
34,6.415,0.0,1.728,0.15103,252
35,6.497,0.0,1.728,0.14848,262
36,6.584,0.0,1.728,0.14591,273
37,6.685,0.0,1.728,0.14361,284
38,6.761,0.0,1.728,0.14155,294
39,6.83,0.0,1.728,0.13953,304
40,6.909,0.0,1.728,0.13736,315
41,6.979,0.0,1.728,0.13526,326
42,7.052,0.0,1.728,0.1333,337
43,7.117,0.0,1.728,0.1314,348
44,7.182,0.0,1.728,0.12958,359
45,7.236,0.0,1.728,0.12803,369
46,7.28,0.0,1.728,0.12648,379
47,7.346,0.0,1.728,0.12515,390
48,7.394,0.0,1.728,0.1237,400
49,7.449,0.0,1.728,0.12223,411
50,7.494,0.0,1.728,0.12095,421
51,7.533,0.0,1.728,0.11964,431
52,7.576,0.0,1.728,0.11829,442
53,7.628,0.0,1.728,0.11715,453
54,7.661,0.0,1.728,0.116,463
55,7.697,0.0,1.728,0.11489,473
56,7.746,0.0,1.728,0.11385,484
57,7.779,0.0,1.728,0.11279,494
58,7.818,0.0,1.728,0.11171,505
