index,mean
1,86465330.91829267
2,87212275.9810035
3,86328609.93483502
4,87042011.859907
5,92020665.54450294
6,92020665.54450294
7,85346817.59271014
8,85346817.59271014
9,85346817.59271014
10,84366110.89066285
11,84366110.89066285
12,84366110.89066285
13,84366110.89066285
14,84366110.89066285
15,79380323.18681617
16,78666921.2617442
17,78980100.59645036
18,68371374.15416342
19,68994883.07327479
20,69618391.99238613
21,70241900.9114975
22,74828640.35678706
23,69946357.68383871
24,69322848.76472735
25,68699339.84561598
26,68075830.92650463
27,74882300.47409533
28,74882300.47409533
29,74882300.47409533
30,74931575.44246498
31,69836219.8903045
32,69211763.5539966
33,75016537.74565853
34,75016537.74565853
35,75120563.2757203
36,75120563.2757203
37,75120563.2757203
38,75120563.2757203
39,75120563.2757203
40,75154200.13984407
41,75154200.13984407
42,69472215.45708147
43,68846078.44384727
44,77166567.42305532
45,77824739.0422885
46,77824739.0422885
47,77824739.0422885
48,72336246.4083192
49,82639863.4982172
50,83988366.92860618
51,83988366.92860618
52,83988366.92860618
53,83988366.92860618
54,83988366.92860618
55,83988366.92860618
56,83988366.92860618
57,91198651.43620929
58,91198651.43620929
59,93365068.7082709
60,93365068.7082709
61,93365068.7082709
62,99595119.84920393
63,103604869.44173965
64,103604869.44173965
65,103604869.44173965
66,103604869.44173965
67,103604869.44173965
68,103604869.44173965
69,106152048.8092243
70,103233130.85539809
71,111891032.0317347
72,111132153.45555201
73,111132153.45555201
74,111132153.45555201
75,111132153.45555201
76,111132153.45555201
77,108701395.17937222
78,117184244.08177361
79,117184244.08177361
80,117184244.08177361
81,117184244.08177361
82,117184244.08177361
83,117184244.08177361
84,117184244.08177361
85,108234904.73097068
86,111348251.13464695
87,97213443.27706572
88,100155519.51310197
89,108319699.33612919
90,108319699.33612919
91,108319699.33612919
92,108319699.33612919
93,99869140.69681153
94,107465259.30195494
95,107465259.30195494
96,107465259.30195494
97,107465259.30195494
98,107465259.30195494
99,107465259.30195494
100,107465259.30195494
101,99045318.88356324
102,102237950.07535842
103,94709517.07828794
104,87485889.17280787
105,86618124.96674451
106,91381464.63509247
107,91381464.63509247
108,91381464.63509247
109,84174924.12133095
110,84174924.12133095
111,84174924.12133095
112,84174924.12133095
113,84174924.12133095
114,84174924.12133095
115,84174924.12133095
116,84174924.12133095
117,77434142.87092938
118,77501709.99244967
119,77501709.99244967
120,77501709.99244967
121,77501709.99244967
122,74289179.51503165
123,74289179.51503165
124,74289179.51503165
125,74289179.51503165
126,74289179.51503165
127,74289179.51503165
128,74289179.51503165
129,74418302.40439612
130,74418302.40439612
131,74418302.40439612
132,74492830.17675233
133,74439629.2676186
134,74439629.2676186
135,74379611.44410443
136,74379611.44410443
137,74379611.44410443
138,74379611.44410443
139,74379611.44410443
140,74379611.44410443
141,74379611.44410443
142,74379611.44410443
143,74379611.44410443
144,74379611.44410443
145,74379611.44410443
146,74356254.85012934
147,74386789.41825506
148,68045132.9965246
149,68664069.64749542
150,74324967.41338314
151,74324967.41338314
152,68268776.48674968
153,74310500.25737563
154,74310500.25737563
155,74310500.25737563
156,74310500.25737563
157,74310500.25737563
158,74310500.25737563
159,74310500.25737563
160,74310500.25737563
161,74310500.25737563
162,74260953.95494583
163,68646476.43788093
164,68027539.78691012
165,74287102.18136081
166,68994710.55358444
167,74316063.67549293
168,74316063.67549293
169,74316063.67549293
170,74316063.67549293
171,74316063.67549293
172,67721005.65457362
173,74368945.25901079
174,74368945.25901079
175,74368945.25901079
176,74368945.25901079
177,74335056.4693107
178,74370011.32835695
179,74370011.32835695
180,74370011.32835695
181,74370011.32835695
182,74408179.73462725
183,74408179.73462725
184,74408179.73462725
185,74408179.73462725
186,74377935.99810687
187,74377935.99810687
188,74377935.99810687
189,74377935.99810687
190,74377935.99810687
191,74377935.99810687
192,74377935.99810687
193,74331056.99151087
194,74429127.47105706
195,74447806.12433621
196,74447806.12433621
197,74447806.12433621
198,74496999.96517497
199,74496999.96517497
200,74496999.96517497
201,74496999.96517497
202,74496999.96517497
203,74496999.96517497
204,74496999.96517497
205,74496999.96517497
206,74496999.96517497
207,68543811.66745698
208,74508746.50088114
209,74601100.07269171
210,74601100.07269171
211,74601100.07269171
212,74601100.07269171
213,60840603.90083407
214,60840603.90083407
215,68165902.43977824
216,68788835.04485922
217,69411767.6499402
218,74726836.28069282
219,74726836.28069282
220,74726836.28069282
221,74726836.28069282
222,74726836.28069282
223,74726836.28069282
224,74726836.28069282
225,74847785.70928657
226,74847785.70928657
227,68459151.06107666
228,74882853.74277289
229,74882853.74277289
