index,mean
1,842509.6061
2,842509.5923
3,842509.5942
4,842509.5991
5,842509.5916
6,842509.5924
7,842509.5932
8,842509.5944
9,842509.5893
10,842509.5918
11,842509.5942
12,842509.5908
13,842509.591
14,842509.5909
15,842509.5972
16,842509.5894
17,842509.5901
18,842509.5969
19,842509.5953
20,842509.5908
21,842509.5927
22,842509.5922
23,842509.5916
24,842509.591
25,842509.6003
26,842509.5935
27,842509.5881
28,842509.5967
29,842509.5987
30,842509.5951
31,842509.5959
32,842509.5977
33,842509.5987
34,842509.5959
35,842509.593
36,842509.5998
37,842509.6001
38,842509.5934
39,842509.5983
40,842509.5978
41,842509.5958
42,842509.5982
43,842509.5991
44,842509.5944
45,842509.5954
46,842509.5929
47,842509.597
48,842509.5969
49,842509.6013
50,842509.5968
51,842509.5973
52,842509.5994
53,842509.5961
54,842509.5967
55,842509.5942
56,842509.6021
57,842509.5991999999
58,842509.6007
59,842509.5987
60,842509.6012
61,842509.5957
62,842509.6002
63,842509.5992
64,842509.598
65,842509.5945
66,842509.5936
67,842509.596
68,842509.5978
69,842509.5998
70,842509.5981000001
71,842509.5922
72,842509.5963
73,842509.6014
74,842509.5965
75,842509.6005
76,842509.6035
77,842509.5996
78,842509.6007
79,842509.5965
80,842509.5978
81,842509.5924
82,842509.5945
83,842509.5937
84,842509.5958
85,842509.5973
86,842509.5993
87,842509.5935
88,842509.5966
89,842509.6007
90,842509.5894
91,842509.6031
92,842509.5983
93,842509.5973
94,842509.5922
95,842509.5937
96,842509.5991
97,842509.5918
98,842509.5957
99,842509.5955
100,842509.5967999999
101,842509.5981
102,842509.5926
103,842509.5936
104,842509.5997
105,842509.5958
106,842509.5958
107,842509.5999
108,842509.5938
109,842509.5996
110,842509.5965
111,842509.6007000001
112,842509.5972
113,842509.5933
114,842509.5982
115,842509.5998
116,842509.5982
117,842509.596
118,842509.5911
119,842509.5975
120,842509.5949
121,842509.5981
122,842509.5919
123,842509.6005
124,842509.6019
125,842509.595
126,842509.6009
127,842509.5994
128,842509.5977
129,842509.597
130,842509.6007000001
131,842509.6006
132,842509.5989
133,842509.5948
134,842509.5967999999
135,842509.596
136,842509.5994
137,842509.5974
138,842509.5973
139,842509.5996
140,842509.593
141,842509.5957
142,842509.5924
143,842509.6031
144,842509.5993
145,842509.5962
146,842509.6035
147,842509.5915
148,842509.5949
149,842509.6007000001
150,842509.5941999999
151,842509.6007
152,842509.5949
153,842509.5991
154,842509.5929
155,842509.5998
156,842509.6001
157,842509.6026
158,842509.5982
159,842509.5993
160,842509.6031000001
161,842509.6028
162,842509.5995
163,842509.5934
164,842509.592
165,842509.5962
166,842509.6006
167,842509.6004
168,842509.597
169,842509.606
170,842509.601
171,842509.5983
172,842509.6
173,842509.5997
174,842509.5937
175,842509.5941999999
176,842509.5963
177,842509.5979
178,842509.5984
179,842509.5981
180,842509.5941999999
181,842509.6056
182,842509.5975
183,842509.5977
184,842509.5952999999
185,842509.5994
186,842509.5944000001
187,842509.5994
188,842509.5988
189,842509.5965
190,842509.5989999999
191,842509.5904
192,842509.5913
193,842509.5918
194,842509.5965
195,842509.5953
196,842509.5963
197,842509.5978999999
198,842509.5961
199,842509.594
200,842509.5993
201,842509.5964
202,842509.5987
203,842509.5939999999
204,842509.5957
205,842509.5983
206,842509.5913
207,842509.5999
208,842509.5970000001
209,842509.5952
210,842509.5959
211,842509.5937
212,842509.5943
213,842509.5929
214,842509.5933000001
215,842509.5935
216,842509.5952
217,842509.5967999999
218,842509.5934
219,842509.5945
220,842509.5974
221,842509.5915999999
