index,mean
1,842509.4836
2,842509.4811
3,842509.4821
4,842509.4773
5,842509.4821
6,842509.4793
7,842509.4747
8,842509.4771
9,842509.4771
10,842509.4749
11,842509.4742
12,842509.4765
13,842509.4779
14,842509.479
15,842509.4736
16,842509.4743
17,842509.4783
18,842509.4743
19,842509.4821
20,842509.4791
21,842509.4803
22,842509.4732
23,842509.4739
24,842509.476
25,842509.4719
26,842509.481
27,842509.4823
28,842509.4761
29,842509.4749
30,842509.4829
31,842509.4793
32,842509.4826
33,842509.4781000001
34,842509.4865
35,842509.4855
36,842509.4766
37,842509.4844
38,842509.486
39,842509.4828
40,842509.4802999999
41,842509.4843
42,842509.48
43,842509.4844
44,842509.4871
45,842509.4802
46,842509.4842000001
47,842509.4833
48,842509.4782
49,842509.483
50,842509.4825
51,842509.4832
52,842509.4808
53,842509.4842
54,842509.4837
55,842509.477
56,842509.4834
57,842509.4794000001
58,842509.4872
59,842509.4837
60,842509.4838
61,842509.4845
62,842509.4843
63,842509.4815
64,842509.486
65,842509.481
66,842509.485
67,842509.4801
68,842509.4788
69,842509.481
70,842509.4823
71,842509.4879000001
72,842509.4749
73,842509.4826
74,842509.483
75,842509.4815
76,842509.4839999999
77,842509.4819
78,842509.4882
79,842509.4838
80,842509.4835999999
81,842509.4807
82,842509.4801
83,842509.4794000001
84,842509.4789
85,842509.4799
86,842509.4804
87,842509.4817
88,842509.4815999999
89,842509.483
90,842509.4837
91,842509.4809
92,842509.4843
93,842509.4861
94,842509.4815
95,842509.4802
96,842509.4803
97,842509.4817
98,842509.4754
99,842509.4817
100,842509.4808
101,842509.4776
102,842509.4825
103,842509.4808
104,842509.4811
105,842509.4793
106,842509.4818
107,842509.479
108,842509.4822
109,842509.4801
110,842509.4795
111,842509.4856
112,842509.4792
113,842509.4824
114,842509.48
115,842509.4802
116,842509.4819
117,842509.4814
118,842509.4801
119,842509.4793
120,842509.4829
121,842509.477
122,842509.4837
123,842509.4794
124,842509.4795
125,842509.4895
126,842509.4818
127,842509.4843
128,842509.4827
129,842509.4834
130,842509.4807
131,842509.4839
132,842509.4812
133,842509.4811
134,842509.4833
135,842509.4816
136,842509.4848
137,842509.4809
138,842509.4841
139,842509.4856
140,842509.4842
141,842509.4816
142,842509.4817
143,842509.4799
144,842509.4813
145,842509.4852
146,842509.4824
147,842509.4824
148,842509.4811
149,842509.474
150,842509.4814
151,842509.4850999999
152,842509.4813
153,842509.4834
154,842509.4824
155,842509.4793
156,842509.4793
157,842509.4876999999
158,842509.4882
159,842509.4864
160,842509.4849
161,842509.4847
162,842509.4895
163,842509.4876
164,842509.4788
165,842509.4768
166,842509.4812
167,842509.4826
168,842509.4815
169,842509.4839
170,842509.4857000001
171,842509.4884
172,842509.4857
173,842509.4862
174,842509.483
175,842509.4797
176,842509.4784
177,842509.4805
178,842509.4806
179,842509.4841
180,842509.4817
181,842509.4805000001
182,842509.4869
183,842509.4857000001
184,842509.4805000001
185,842509.4829000001
186,842509.4865
187,842509.4850999999
188,842509.4815
189,842509.4853000001
190,842509.4812
191,842509.4824
192,842509.4832
193,842509.4749
194,842509.4788
195,842509.4802999999
196,842509.4802
197,842509.4778
198,842509.4833
199,842509.4818
200,842509.4815
201,842509.4778
202,842509.4813
203,842509.4814
204,842509.4824
205,842509.4812
206,842509.4804
207,842509.4747
208,842509.483
209,842509.488
210,842509.4778
211,842509.4785
212,842509.4817
213,842509.4807
214,842509.478
215,842509.4814
216,842509.4737
217,842509.4768000001
218,842509.4839999999
219,842509.4789
220,842509.4848
221,842509.4784
222,842509.4793
223,842509.4803
