index,mean
1,10.1425
2,10.067
3,10.0221
4,10.0477
5,10.009599999999999
6,10.0167
7,10.0122
8,10.0032
9,9.9857
10,9.989
11,9.9843
12,9.9842
13,9.9854
14,9.9886
15,9.9854
16,9.9852
17,9.9826
18,9.9855
19,9.9895
20,9.9917
21,9.9919
22,9.99
23,9.9924
24,9.9907
25,9.9873
26,9.9819
27,9.9854
28,9.9856
29,9.9833
30,9.9838
31,9.9879
32,9.991
33,9.988900000000001
34,9.9877
35,9.9861
36,9.9888
37,9.9891
38,9.9892
39,9.9891
40,9.989
41,9.9873
42,9.982099999999999
43,9.9807
44,9.9812
45,9.9815
46,9.9785
47,9.9771
48,9.9748
49,9.9734
50,9.974499999999999
51,9.975
52,9.9755
53,9.9721
54,9.9732
55,9.9726
56,9.9751
57,9.9729
58,9.9749
59,9.9712
60,9.968300000000001
61,9.9677
62,9.9673
63,9.969100000000001
64,9.9666
65,9.9674
66,9.9693
67,9.9703
68,9.9688
69,9.9657
70,9.968399999999999
71,9.9678
72,9.9662
73,9.9661
74,9.9651
75,9.9683
76,9.9677
77,9.9677
78,9.9671
79,9.9666
80,9.9683
81,9.9689
82,9.969
83,9.9658
84,9.966800000000001
85,9.9659
86,9.9647
87,9.9664
88,9.9657
89,9.9657
90,9.9642
91,9.9655
92,9.964
93,9.9663
94,9.9652
95,9.9665
96,9.9659
97,9.9643
98,9.9649
99,9.964
100,9.964500000000001
101,9.9666
102,9.9665
103,9.9667
104,9.9651
105,9.967
106,9.9665
107,9.9651
108,9.9648
109,9.963799999999999
110,9.965900000000001
111,9.9647
112,9.964
113,9.9642
114,9.964500000000001
115,9.9641
116,9.9632
117,9.9637
118,9.9644
119,9.9636
120,9.9637
121,9.9641
122,9.9637
123,9.9627
124,9.9628
125,9.9627
126,9.963799999999999
127,9.9634
128,9.9646
129,9.9636
130,9.9611
131,9.9622
132,9.9634
133,9.9637
134,9.9644
135,9.9634
136,9.9621
137,9.9622
138,9.9639
139,9.9646
140,9.9636
141,9.9635
142,9.9641
143,9.9634
144,9.9643
145,9.9635
146,9.9642
147,9.9636
148,9.9652
149,9.9634
150,9.965300000000001
151,9.9637
152,9.9636
153,9.962
154,9.963000000000001
155,9.9636
156,9.9623
157,9.9633
158,9.9634
159,9.9632
160,9.964
161,9.964
162,9.9642
163,9.9644
164,9.9651
165,9.9653
166,9.9649
167,9.9657
168,9.9657
169,9.9657
170,9.9655
171,9.9663
172,9.9659
173,9.9662
174,9.9663
175,9.9663
176,9.9673
177,9.9667
178,9.9665
179,9.9662
180,9.966
181,9.9663
182,9.9663
183,9.9657
184,9.9655
185,9.9671
186,9.9663
187,9.9667
188,9.9667
189,9.9675
190,9.9673
191,9.9669
192,9.9672
193,9.967
194,9.967600000000001
195,9.9665
196,9.9661
197,9.9658
198,9.965399999999999
199,9.965
200,9.9655
201,9.966
202,9.9655
203,9.9654
204,9.965
205,9.9653
206,9.9658
207,9.9659
208,9.9665
209,9.9664
