index,mean
1,1577954508.8
2,1579809587.2
3,1581724467.2
4,1581724467.2
5,1579996774.4
6,1579691622.4
7,1579043225.6
8,1579043225.6
9,1580018483.2
10,1581350092.8
11,1581636403.2
12,1581121126.4
13,1581435699.2
14,1581075660.8
15,1580719308.8
16,1580261376.0
17,1580590284.8
18,1579892736.0
19,1579717017.6
20,1579459379.2
21,1578451763.2
22,1578381312.0
23,1578381312.0
24,1578381312.0
25,1579149721.6
26,1579149721.6
27,1580965478.4
28,1580965478.4
29,1580762726.4
30,1579499110.4
31,1581109248.0
32,1581109248.0
33,1581109248.0
34,1582335590.4
35,1583568076.8
36,1583062630.4
37,1583844147.2
38,1584637132.8
39,1584637132.8
40,1584637132.8
41,1588813004.8
42,1594792755.2
43,1594767769.6
44,1595805696.0
45,1596317286.4
46,1596205056.0
47,1595966259.2
48,1596107980.8
49,1596107980.8
50,1594259046.4
51,1594259046.4
52,1595643904.0
53,1596806758.4
54,1596806758.4
55,1595942502.4
56,1595318272.0
57,1595104870.4
58,1595104870.4
59,1593758515.2
60,1591993548.8
61,1591993548.8
62,1589034598.4
63,1590864281.6
64,1590025011.2
65,1589509324.8
66,1590059827.2
67,1591034675.2
68,1592963891.2
69,1594367180.8
70,1594285670.4
71,1594107084.8
72,1592042700.8
73,1592042700.8
74,1591587635.2
75,1591587635.2
76,1591587635.2
77,1591587635.2
78,1591976755.2
79,1592634572.8
80,1592766054.4
81,1592766054.4
82,1593326387.2
83,1594639155.2
84,1595072102.4
85,1594281984.0
86,1595462860.8
87,1595462860.8
88,1596429516.8
89,1596150579.2
90,1596719513.6
91,1596719513.6
92,1596719513.6
93,1596199321.6
94,1596896870.4
95,1597746380.8
96,1599061606.4
97,1596842393.6
98,1597352345.6
99,1596152217.6
100,1596188262.4
101,1596146892.8
102,1596280012.8
103,1596700262.4
104,1596700262.4
105,1598047027.2
106,1598047027.2
107,1598727372.8
108,1598577459.2
109,1597936025.6
110,1597936025.6
111,1598596300.8
112,1600934707.2
113,1600766361.6
114,1600766361.6
115,1599234867.2
116,1598817484.8
117,1599461376.0
118,1600413286.4
119,1600413286.4
120,1600720896.0
121,1600216678.4
122,1600216678.4
123,1600799948.8
124,1601505689.6
125,1601505689.6
126,1600403046.4
127,1601297612.8
128,1601297612.8
129,1601225113.6
130,1602429747.2
131,1602286796.8
132,1602725478.4
133,1603659366.4
134,1605004083.2
135,1604630118.4
136,1604848435.2
137,1605172428.8
138,1605172428.8
139,1605172428.8
140,1604825088.0
141,1604713267.2
142,1604713267.2
143,1605063475.2
144,1605539020.8
145,1606050611.2
146,1607394508.8
147,1609071820.8
148,1607831961.6
149,1608476672.0
150,1608144896.0
151,1608144896.0
152,1608144896.0
153,1608144896.0
154,1609565388.8
155,1609565388.8
156,1610034790.4
157,1610168729.6
158,1610158489.6
159,1610090086.4
160,1610090086.4
161,1612288409.6
162,1611528192.0
163,1611472076.8
164,1610825318.4
165,1611451596.8
166,1611451596.8
167,1612433817.6
168,1613277593.6
169,1613796147.2
170,1613761740.8
171,1613608550.4
172,1613253836.8
173,1613253836.8
174,1613439795.2
175,1613766246.4
176,1613766246.4
177,1613766246.4
178,1615121612.8
179,1613602406.4
180,1613760921.6
181,1613171507.2
182,1610897408.0
183,1610897408.0
184,1610897408.0
185,1610897408.0
186,1610861363.2
187,1612823756.8
188,1612823756.8
189,1611948032.0
190,1611995136.0
191,1611995136.0
192,1611485184.0
193,1612806144.0
194,1612806144.0
195,1612806144.0
196,1613176012.8
197,1613228851.2
198,1616884940.8
199,1616884940.8
200,1617560371.2
201,1618971033.6
202,1618971033.6
203,1619813990.4
204,1618428313.6
205,1617910579.2
206,1619367936.0
207,1619367936.0
208,1620162969.6
209,1616752640.0
210,1616451993.6
211,1618021990.4
212,1618021990.4
213,1618121523.2
214,1620071628.8
215,1621148057.6
216,1623782604.8
217,1623782604.8
218,1622339584.0
219,1622339584.0
220,1621567078.4
221,1621815296.0
222,1621039923.2
223,1621039923.2
224,1621797683.2
225,1621359411.2
226,1621263974.4
227,1620182630.4
