index,mean
1,32575660.870033193
2,32508502.790643476
3,32452214.598983455
4,32339056.099742755
5,32283575.74248259
6,33133144.36762996
7,32616575.70500816
8,32476643.940270483
9,33049308.653935354
10,33765894.88348737
11,32427620.525253348
12,32427620.578853875
13,32435836.56733292
14,33785960.27594247
15,33785960.27594247
16,33225846.283061605
17,33806105.02143199
18,33810042.142986566
19,32559638.372999985
20,32559521.89223415
21,33122441.812124077
22,33812362.20543133
23,33812139.03941324
24,33812139.03941324
25,33812138.55970271
26,33014160.95817573
27,33071891.870925993
28,33134592.36114377
29,33197884.929074418
30,33257450.738784064
31,33323522.20443309
32,33265491.346592788
33,33241773.605068468
34,32586806.131368626
35,32623754.827153936
36,32586633.742746785
37,32586586.585099798
38,32588139.890265126
39,33077832.948879857
40,32509661.973182436
41,32900621.822674956
42,32672909.19527457
43,32608883.566579055
44,32608883.566579055
45,32531574.554262675
46,30950152.077091437
47,31055430.802974302
48,31049494.345744967
49,31029618.496332046
50,30450036.843508445
51,30122078.491049476
52,30489793.44757578
53,31006695.682865214
54,31949725.63695049
55,31966953.635831725
56,31328772.74014827
57,31528465.112336643
58,31585173.707810216
59,31570872.13074901
60,32026535.14681174
61,32026535.14681174
62,32026535.14681174
63,31229730.996034324
64,31221709.789077077
65,31240132.879298225
66,30973733.491826575
67,30558818.09030516
68,30739813.25788185
69,32198692.297758356
70,32689329.180484846
71,33110311.727819115
72,33110311.727819115
73,33223428.749782544
74,32623581.322597317
75,32679096.18681472
76,33024600.456976395
77,32361224.994422045
78,32349554.829400588
79,32294039.965183187
80,31741289.604807716
81,32275632.9356378
82,32101069.95255387
83,32259947.17283812
84,33430785.257250994
85,34072758.1285204
86,34831550.06545401
87,35171406.18029171
88,35171406.18029171
89,35375182.04640391
90,35375182.04640391
91,35375182.04640391
92,35617049.134909146
93,35710629.434373684
94,36423953.33480952
95,36423953.33480952
96,36304236.6231309
97,36373340.31058025
98,36919392.337467335
99,36919392.337467335
100,35857866.94889883
101,35764504.86805946
102,35752092.928261295
103,36341420.56833618
104,37072705.0275611
105,36397643.42961309
106,37088684.816572666
107,37088684.816572666
108,36077344.899890535
109,35954163.01516937
110,35830981.1304482
111,37133747.73793044
112,37133747.73793044
113,36029941.298780315
114,36495739.000298195
115,36557670.155699484
116,36624590.23841028
117,36686521.393811576
118,37201997.590122305
119,36679213.48854438
120,36617164.75370064
121,36555116.01885689
122,36496847.1377647
123,36435016.509061605
124,36450691.66278197
125,35958225.97782348
126,36589424.24370094
127,35982423.892562374
128,37210267.311658666
129,36649219.72418087
130,36576265.859127715
131,36514321.335091375
132,36444052.01622783
133,37188589.64673573
134,37188589.64673573
135,37184030.047486335
136,37181147.540759355
137,37181147.540759355
138,36656572.05122434
139,36594567.64951813
140,36529573.750705615
141,36467203.72527024
142,36660693.976939216
143,35931675.93751319
144,35251247.12113027
145,35193239.09657765
146,34416347.51262117
147,36622498.10587429
148,37164815.97239069
149,37178519.475193016
150,36561056.679763526
151,37190199.39364349
152,37187632.392101474
153,37187848.73471808
154,36554574.627181984
155,37192513.73205461
156,37192513.73205461
157,37182956.85561106
158,37182956.85561106
159,37182956.85561106
160,37183298.03479892
161,37181816.69676401
162,37174142.5520762
163,36615335.11402615
164,37189884.43194957
165,36494406.029993564
166,35200662.53389415
167,35262711.10780005
168,35841608.79227619
169,36041059.67625704
170,36041070.04156472
171,35392691.18175626
172,36622129.84934492
173,35983979.50701983
174,36122843.14036426
175,37241957.28085911
176,37241957.28085911
177,36635016.257626355
178,36587556.38458511
179,36534277.00179117
180,37263060.91432542
181,37268075.67695713
182,37277338.77817545
183,36545889.53499024
184,36607120.57582844
185,36163226.40752146
186,36285971.85112526
187,37297199.3662738
188,37297199.3662738
189,35529675.46728903
190,35590659.692769095
191,36145995.604792826
192,35569411.96797652
193,36163361.69226873
194,36703760.605958976
195,36639060.213747285
196,35345955.34389147
197,36075160.79181825
198,36078778.813662454
199,36184091.94682457
200,36825392.41759568
201,37316431.29916482
202,37318471.26949864
203,37326006.42149144
204,37326006.42149144
205,37334727.512141235
206,37339873.26674641
207,36749402.533974595
208,36785608.160543814
209,36188154.452848256
210,36071310.91923858
211,36018826.86521636
212,36640880.92879679
213,36699961.39137861
214,36762150.86136295
215,36272208.17321008
216,36854628.13476117
217,36795742.67641812
218,37416763.00741097
219,36842502.3040635
220,35874985.31332593
221,36732318.54112079
222,36794787.90080452
223,36860562.32069019
224,37439948.29673551
225,36690307.36118408
226,36228387.76456339
227,36821289.84435252
