index,delta
1,1.286699999938719
2,1.2997999999206513
3,1.2911999999778345
4,1.2828999999910593
5,1.2870000000111759
6,1.289699999964796
7,1.295200000051409
8,1.2983000000240281
9,1.3005000000121072
10,1.2998999999836087
11,1.3000000000465661
12,1.3029000000096858
13,1.3046999999787658
14,1.3059999999823049
15,1.3046000000322238
16,1.2979000000050291
17,1.2942999999504536
18,1.292299999971874
19,1.296000000089407
20,1.29300000006333
21,1.2796000000089407
22,1.290999999968335
23,1.2868000000016764
24,1.2953000001143664
25,1.2981000000145286
26,1.2989999998826534
27,1.2992999999551103
28,1.3179000000236556
29,1.3164999999571592
30,1.3281999999890104
31,1.3068000000203028
32,1.3048999999882653
33,1.2983999999705702
34,1.2968000000109896
35,1.2979999999515712
36,1.3050999999977648
37,1.3019999999087304
38,1.305699999909848
39,1.3040000000037253
40,1.3161000000545755
41,1.3191000000806525
42,1.3144000000320375
43,1.3207000000402331
44,1.3038999999407679
45,1.3013000000501052
46,1.292299999971874
47,1.3035000000381842
48,1.3192999999737367
49,1.3184999999357387
50,1.3244000000413507
51,1.3205000000307336
52,1.2981999999610707
53,1.3105000000214204
54,1.312199999927543
55,1.3118000000249594
56,1.3220000000437722
57,1.31339999998454
58,1.316400000010617
59,1.3041000000666827
60,1.3033000000286847
61,1.3066000000108033
62,1.3231000000378117
63,1.3205999999772757
64,1.3187000000616536
65,1.3240000000223517
66,1.3126000000629574
67,1.3181999999796972
68,1.315500000026077
69,1.317200000048615
70,1.3203000000212342
71,1.315999999991618
72,1.3062999999383464
73,1.2928000000538304
74,1.3044999999692664
75,1.3016000000061467
76,1.3201999999582767
77,1.3026000000536442
78,1.312900000018999
79,1.300400000065565
80,1.3029999999562278
81,1.3105000000214204
82,1.3205000000307336
83,1.3127000000094995
84,1.309199999901466
85,1.312099999981001
86,1.3121000000974163
87,1.3100000000558794
88,1.297400000039488
89,1.2953999999444932
90,1.3019999999087304
91,1.3048999999882653
92,1.3113000000594184
93,1.3134999999310821
94,1.312099999981001
95,1.3045000000856817
96,1.3105000000214204
97,1.3195999999297783
98,1.323200000100769
99,1.31339999998454
100,1.2977999999420717
101,1.3003000000026077
102,1.312400000053458
103,1.3255000000353903
104,1.317200000048615
105,1.2976000000489876
106,1.2979999999515712
107,1.3026000000536442
108,1.3035999999847263
109,1.3105000000214204
110,1.31070000003092
111,1.3200000000651926
112,1.3131000000284985
113,1.3209000000497326
114,1.309899999992922
115,1.304799999925308
116,1.3019000000786036
117,1.3110999999335036
118,1.3208999999333173
119,1.3196000000461936
120,1.3225999999558553
121,1.313899999950081
122,1.3117000000784174
123,1.3093999999109656
124,1.3043000000761822
125,1.2968999999575317
126,1.3048999999882653
127,1.295299999997951
128,1.3005999999586493
129,1.2996999999741092
130,1.3105000000214204
131,1.3035999999847263
132,1.3130000000819564
133,1.3196000000461936
134,1.3196999999927357
135,1.3202999999048188
136,1.3156000000890344
137,1.3218999999808148
138,1.3227999999653548
139,1.3131000000284985
140,1.3085000000428408
141,1.3023000000976026
142,1.3077000000048429
143,1.2963999999919906
144,1.3115000000689179
145,1.320200000074692
146,1.3236000000033528
147,1.3170999999856576
148,1.3191999999107793
149,1.3118000000249594
150,1.3200000000651926
151,1.3283999999985099
152,1.3209999999962747
153,1.3244000000413507
154,1.3244000000413507
155,1.3199000000022352
156,1.3214000000152737
157,1.316700000083074
158,1.3135999999940395
159,1.3190000000176951
160,1.307299999985844
161,1.3197999999392778
162,1.3127000000094995
163,1.3188999999547377
164,1.3136999999405816
165,1.3229000000283122
166,1.3117000000784174
167,1.3079000000143424
168,1.3059000000357628
169,1.3046000000322238
170,1.3132999999215826
171,1.3174000000581145
172,1.307899999897927
173,1.2928000000538304
174,1.2981999999610707
175,1.293500000028871
176,1.3003000000026077
177,1.2996000000275671
178,1.309899999992922
179,1.3081000000238419
180,1.3145999999251217
181,1.3077000000048429
182,1.3055000000167638
183,1.3013000000501052
184,1.2979000000050291
185,1.3016999999526888
186,1.292299999971874
187,1.315500000026077
188,1.310899999924004
189,1.306499999947846
190,1.3057000000262633
191,1.2902999999932945
192,1.2904000000562519
193,1.293199999956414
194,1.3094000000273809
195,1.3048999999882653
196,1.3092000000178814
197,1.3144999999785796
198,1.310300000011921
199,1.3046000000322238
200,1.297000000020489
201,1.2976000000489876
202,1.3005999999586493
203,1.3097999999299645
204,1.3123999999370426
205,1.3106999999145046
206,1.3155999999726191
207,1.3118999999715015
208,1.3161000000545755
209,1.3151999999536201
210,1.31070000003092
211,1.291800000006333
212,1.2859000001335517
213,1.2770000000018626
214,1.2798000000184402
215,1.2806000000564381
