index,mean
1,845271.7949
2,845271.8119
3,845271.8046
4,845271.7968
5,845271.8018
6,845271.7995
7,845271.8081
8,845271.8108
9,845271.8137
10,845271.814
11,845271.814
12,845271.8159
13,845271.8196
14,845271.8205
15,845271.8201
16,845271.8086
17,845271.8073999999
18,845271.8101
19,845271.8059
20,845271.8091000001
21,845271.7942
22,845271.8029
23,845271.7996
24,845271.8052000001
25,845271.8129
26,845271.815
27,845271.8156
28,845271.8268
29,845271.8313
30,845271.8389
31,845271.827
32,845271.8191
33,845271.8136
34,845271.8127
35,845271.815
36,845271.8175
37,845271.8178
38,845271.8173999999
39,845271.817
40,845271.8298000001
41,845271.8348000001
42,845271.8286
43,845271.8347
44,845271.8208
45,845271.8142
46,845271.8086999999
47,845271.8199
48,845271.8317
49,845271.8335
50,845271.8382
51,845271.8325
52,845271.8189
53,845271.8258
54,845271.8256999999
55,845271.8296
56,845271.8316
57,845271.8291
58,845271.8286
59,845271.8200000001
60,845271.8159
61,845271.8188
62,845271.831
63,845271.8336
64,845271.829
65,845271.8395
66,845271.8268
67,845271.8315
68,845271.8268
69,845271.8333
70,845271.8387
71,845271.8313
72,845271.8182999999
73,845271.8081
74,845271.8149
75,845271.8198
76,845271.8339
77,845271.821
78,845271.8231
79,845271.814
80,845271.8141
81,845271.8227
82,845271.831
83,845271.8249
84,845271.825
85,845271.8288
86,845271.8233
87,845271.8255
88,845271.8136
89,845271.8088
90,845271.8158
91,845271.8188
92,845271.8288
93,845271.8298
94,845271.8286
95,845271.8216
96,845271.8274000001
97,845271.8335
98,845271.8407000001
99,845271.8288
100,845271.8134
101,845271.8126000001
102,845271.8259
103,845271.8381
104,845271.8325
105,845271.8159
106,845271.8145
107,845271.8201
108,845271.8141
109,845271.8257
110,845271.8284
111,845271.8375
112,845271.8316
113,845271.8369
114,845271.8284
115,845271.8226
116,845271.817
117,845271.8278
118,845271.8348
119,845271.8345
120,845271.8356
121,845271.8282999999
122,845271.8244
123,845271.8204
124,845271.8207
125,845271.8163
126,845271.8156
127,845271.8119
128,845271.8152
129,845271.8154
130,845271.827
131,845271.8191
132,845271.8231
133,845271.834
134,845271.8369
135,845271.8335
136,845271.8314
137,845271.8308
138,845271.8413
139,845271.826
140,845271.8269
141,845271.8159
142,845271.8186
143,845271.816
144,845271.8255
145,845271.8366
146,845271.836
147,845271.8334
148,845271.8326
149,845271.8281
150,845271.8368
151,845271.8458
152,845271.8396
153,845271.8401
154,845271.8395
155,845271.8417
156,845271.836
157,845271.8344
158,845271.8306999999
159,845271.8321
160,845271.8286
161,845271.8374
162,845271.8269
163,845271.8325
164,845271.8261
165,845271.8369
166,845271.8268
167,845271.8255
168,845271.8203
169,845271.8196
170,845271.8289
171,845271.8296
172,845271.8221999999
173,845271.8111
174,845271.8126
175,845271.8111
176,845271.8195
177,845271.8186
178,845271.8235
179,845271.8255
180,845271.8289
181,845271.8288
182,845271.8223
183,845271.8196
184,845271.8122
185,845271.8162
186,845271.8095
187,845271.8275
188,845271.8267
189,845271.823
190,845271.8179
191,845271.8032
192,845271.8044
193,845271.8062
194,845271.819
195,845271.8218
196,845271.824
197,845271.828
198,845271.8229
199,845271.8199
200,845271.8111
201,845271.812
202,845271.8164
203,845271.828
204,845271.8271999999
205,845271.8287
206,845271.8293999999
207,845271.8279
208,845271.832
209,845271.8321
210,845271.826
211,845271.8096
212,845271.7993000001
213,845271.7945
214,845271.794
215,845271.7927
