index,mean
1,845270.5082
2,845270.5121
3,845270.5134
4,845270.5139
5,845270.5148
6,845270.5098
7,845270.5129
8,845270.5125
9,845270.5132
10,845270.5141
11,845270.514
12,845270.513
13,845270.5149000001
14,845270.5145
15,845270.5155
16,845270.5107
17,845270.5131
18,845270.5178
19,845270.5099
20,845270.5161
21,845270.5146
22,845270.5119
23,845270.5128
24,845270.5099
25,845270.5148
26,845270.5160000001
27,845270.5163
28,845270.5089
29,845270.5148
30,845270.5107
31,845270.5202
32,845270.5142
33,845270.5152
34,845270.5159
35,845270.517
36,845270.5124
37,845270.5158
38,845270.5117
39,845270.513
40,845270.5137
41,845270.5157
42,845270.5142
43,845270.514
44,845270.5169
45,845270.5129
46,845270.5164
47,845270.5164
48,845270.5124
49,845270.515
50,845270.5138
51,845270.512
52,845270.5207
53,845270.5153
54,845270.5135
55,845270.5178
56,845270.5096
57,845270.5157
58,845270.5122
59,845270.5159
60,845270.5126
61,845270.5122
62,845270.5079
63,845270.513
64,845270.5103
65,845270.5155
66,845270.5142
67,845270.5133
68,845270.5113
69,845270.5161
70,845270.5184
71,845270.5153
72,845270.512
73,845270.5153
74,845270.5104
75,845270.5182
76,845270.5137
77,845270.5184
78,845270.5102
79,845270.5136
80,845270.5111
81,845270.5122
82,845270.5105
83,845270.5122
84,845270.5158
85,845270.5167
86,845270.5112
87,845270.5155
88,845270.5162
89,845270.5134
90,845270.5138000001
91,845270.5139
92,845270.5175
93,845270.5163
94,845270.5165
95,845270.5170999999
96,845270.5169
97,845270.5139
98,845270.5175
99,845270.5154
100,845270.5156
101,845270.5123000001
102,845270.5135
103,845270.5126
104,845270.5153
105,845270.5183
106,845270.5165
107,845270.5175
108,845270.5105
109,845270.5152
110,845270.5177
111,845270.5175
112,845270.5185
113,845270.516
114,845270.5185
115,845270.5178
116,845270.5151
117,845270.5167
118,845270.5139
119,845270.5149
120,845270.513
121,845270.5144
122,845270.5127
123,845270.511
124,845270.5164
125,845270.5194
126,845270.5107
127,845270.5166
128,845270.5146
129,845270.5157
130,845270.5165
131,845270.5155
132,845270.5101
133,845270.5144
134,845270.5172
135,845270.5132
136,845270.5157999999
137,845270.5089
138,845270.5185
139,845270.5129
140,845270.5184
141,845270.5136
142,845270.5109
143,845270.5196
144,845270.514
145,845270.5164
146,845270.5124
147,845270.5163
148,845270.5134
149,845270.5163
150,845270.5168
151,845270.5174
152,845270.5186
153,845270.5157
154,845270.5151
155,845270.5218
156,845270.5146
157,845270.5177
158,845270.5170999999
159,845270.5131
160,845270.5213
161,845270.5176
162,845270.5142
163,845270.5136000001
164,845270.5124
165,845270.514
166,845270.5151
167,845270.5176
168,845270.5144
169,845270.515
170,845270.5156
171,845270.5122
172,845270.5143
173,845270.5183
174,845270.5144
175,845270.5176
176,845270.5192
177,845270.519
178,845270.5136000001
179,845270.5174
180,845270.5143
181,845270.5211
182,845270.5168
183,845270.5183
184,845270.5143
185,845270.5145
186,845270.5172
187,845270.512
188,845270.5158
189,845270.5165
190,845270.5122
191,845270.5129
192,845270.514
193,845270.513
194,845270.5096
195,845270.5169
196,845270.5148
197,845270.5135
198,845270.5126
199,845270.5153
200,845270.5141
201,845270.5144
202,845270.5158
203,845270.5182
204,845270.5148
205,845270.518
206,845270.5138
207,845270.5160000001
208,845270.5159
209,845270.5169
210,845270.5153
211,845270.5178
212,845270.5133999999
213,845270.5175
214,845270.5142
215,845270.5120999999
216,845270.5132
217,845270.5151
218,845270.5128
219,845270.5096
220,845270.5103
221,845270.5111
222,845270.511
223,845270.5101
