index,mean
1,3.124
2,3.117
3,3.1814
4,3.1859
5,3.2041
6,3.1993
7,3.1958
8,3.1942
9,3.1895000000000002
10,3.1864
11,3.1883
12,3.1737
13,3.1699
14,3.1784
15,3.1938
16,3.2012
17,3.1957
18,3.2083
19,3.2112
20,3.2018
21,3.1995999999999998
22,3.1947
23,3.1839
24,3.1687
25,3.1663
26,3.1581
27,3.1535
28,3.1549
29,3.1465
30,3.1447
31,3.1418
32,3.1347
33,3.1299
34,3.12
35,3.1158
36,3.1118
37,3.1146000000000003
38,3.117
39,3.1144
40,3.1124
41,3.1078
42,3.1058
43,3.1061
44,3.1017
45,3.0987999999999998
46,3.0942
47,3.0936
48,3.0913
49,3.0859
50,3.0845000000000002
51,3.0817
52,3.081
53,3.0801
54,3.0784000000000002
55,3.0747999999999998
56,3.0721
57,3.0725
58,3.0679
59,3.0659
60,3.0676
61,3.0676
62,3.0669999999999997
63,3.0662
64,3.0665
65,3.0618
66,3.0622
67,3.0619
68,3.0629
69,3.0628
70,3.0595
71,3.0597
72,3.0577
73,3.0571
74,3.0579
75,3.0559
76,3.0586
77,3.0583
78,3.0576
79,3.0561
80,3.0545999999999998
81,3.0540000000000003
82,3.0519
83,3.0507
84,3.0506
85,3.0508
86,3.0503
87,3.0483000000000002
88,3.0502
89,3.049
90,3.0473
91,3.0467
92,3.0494
93,3.0477
94,3.0477
95,3.0468
96,3.045
97,3.0453
98,3.0441
99,3.0442
100,3.0439
101,3.0427
102,3.0423
103,3.0425
104,3.0425
105,3.0435
106,3.0421
107,3.0447
108,3.0457
109,3.0443
110,3.0449
111,3.0448
112,3.0456
113,3.0444
114,3.0432
115,3.0426
116,3.0415
117,3.0391
118,3.0389
119,3.0394
120,3.0401
121,3.0401000000000002
122,3.0411
123,3.0401
124,3.0391
125,3.0383
126,3.0382
127,3.037
128,3.0352
129,3.0351
130,3.0352
131,3.0349
132,3.0344
133,3.0353
134,3.0359
135,3.034
136,3.0343
137,3.0341
138,3.0345
139,3.0343999999999998
140,3.0351
141,3.0342000000000002
142,3.0353
143,3.0356
144,3.0358
145,3.0358
146,3.0352
147,3.0361000000000002
148,3.0374
149,3.0382
150,3.0385
151,3.0378
152,3.0366
153,3.0372
154,3.0373
155,3.0380000000000003
156,3.0385
157,3.0376
158,3.0383
159,3.0386
160,3.0387
161,3.0399000000000003
162,3.0394
163,3.0402
164,3.0409
165,3.0413
166,3.0417
167,3.0415
168,3.0422000000000002
169,3.0431
170,3.0435
171,3.0439
172,3.0446
173,3.0446999999999997
174,3.0453
175,3.0454
176,3.0452
177,3.0455
178,3.0457
179,3.0463
180,3.0476
181,3.0487
182,3.0503
183,3.0506
