index,mean
1,2095551283.2
2,2095551283.2
3,2095618867.2
4,2096781721.6
5,2096781721.6
6,2097493606.4
7,2097081548.8
8,2097081548.8
9,2096642457.6
10,2094362214.4
11,2094243430.4
12,2094954905.6
13,2094509260.8
14,2094509260.8
15,2094509260.8
16,2094509260.8
17,2094775091.2
18,2094060339.2
19,2094299136.0
20,2093398016.0
21,2094304460.8
22,2093379174.4
23,2094633369.6
24,2092805734.4
25,2093801472.0
26,2093822361.6
27,2094290944.0
28,2095532441.6
29,2094608793.6
30,2094608793.6
31,2095395635.2
32,2095395635.2
33,2095395635.2
34,2095395635.2
35,2095457484.8
36,2095354675.2
37,2094714880.0
38,2089943040.0
39,2088631500.8
40,2088631500.8
41,2088481177.6
42,2088481177.6
43,2095034777.6
44,2095034777.6
45,2088431616.0
46,2089039872.0
47,2095727411.2
48,2097094246.4
49,2097094246.4
50,2099306905.6
51,2104374067.2
52,2105447628.8
53,2105901465.6
54,2105901465.6
55,2110442700.8
56,2114515763.2
57,2119108198.4
58,2117580390.4
59,2117938380.8
60,2117394432.0
61,2117394432.0
62,2118100582.4
63,2117511168.0
64,2117511168.0
65,2117511168.0
66,2116988108.8
67,2116799283.2
68,2114043494.4
69,2113780940.8
70,2112313753.6
71,2114012364.8
72,2115337830.4
73,2116464230.4
74,2114847539.2
75,2114847539.2
76,2114847539.2
77,2114576793.6
78,2114749644.8
79,2115540172.8
80,2116304076.8
81,2117417779.2
82,2115552870.4
83,2116058316.8
84,2115159244.8
85,2115159244.8
86,2117296128.0
87,2117296128.0
88,2117258854.4
89,2117258854.4
90,2118096896.0
91,2120067072.0
92,2119457587.2
93,2119973683.2
94,2119973683.2
95,2119648460.8
96,2119522304.0
97,2121691136.0
98,2122916659.2
99,2122097868.8
100,2124167168.0
101,2124167168.0
102,2123265638.4
103,2122668851.2
104,2122414489.6
105,2122412032.0
106,2122818764.8
107,2122129408.0
108,2122519347.2
109,2122681958.4
110,2123045683.2
111,2123353702.4
112,2124340428.8
113,2125432012.8
114,2125312409.6
115,2125312409.6
116,2125540147.2
117,2124725452.8
118,2125996441.6
119,2125996441.6
120,2125996441.6
121,2125792460.8
122,2128360652.8
123,2128531046.4
124,2128726016.0
125,2129043456.0
126,2129913856.0
127,2128945561.6
128,2128945561.6
129,2128945561.6
130,2127624192.0
131,2130223923.2
132,2130977177.6
133,2128634675.2
134,2129916723.2
135,2131080396.8
136,2131410534.4
137,2130099404.8
138,2130099404.8
139,2130344755.2
140,2130344755.2
141,2130940723.2
142,2128494182.4
143,2127460761.6
144,2127460761.6
145,2126666956.8
146,2126866841.6
147,2129495654.4
148,2126616985.6
149,2126634188.8
150,2127695872.0
151,2129244569.6
152,2129244569.6
153,2129244569.6
154,2128423731.2
155,2126861926.4
156,2126861926.4
157,2129582080.0
158,2129582080.0
159,2130236211.2
160,2130386534.4
161,2132901068.8
162,2132068761.6
163,2130932121.6
164,2127570944.0
165,2127290777.6
166,2127290777.6
167,2127649587.2
168,2127649587.2
169,2127649587.2
170,2127418982.4
171,2128714956.8
172,2130156748.8
173,2130234982.4
174,2131422822.4
175,2131086950.4
176,2131051315.2
177,2131051315.2
178,2130718310.4
179,2130718310.4
180,2131139788.8
181,2132880179.2
182,2133394227.2
183,2134089728.0
184,2133573222.4
185,2134114304.0
186,2133275852.8
187,2132439040.0
188,2132439040.0
189,2134675456.0
190,2133485568.0
191,2134277324.8
192,2134727884.8
193,2133656371.2
194,2133002649.6
195,2131789824.0
196,2131789824.0
197,2131789824.0
198,2132211302.4
199,2133550694.4
200,2134949888.0
201,2134906880.0
202,2137146982.4
203,2139486208.0
204,2139486208.0
205,2139486208.0
206,2140676096.0
207,2140676096.0
208,2140676096.0
209,2143284838.4
210,2143284838.4
211,2142670438.4
212,2143788236.8
213,2143436800.0
214,2144446464.0
215,2144446464.0
216,2144446464.0
217,2143996313.6
218,2145239859.2
219,2145421312.0
220,2144643481.6
221,2146272460.8
222,2146272460.8
223,2146272460.8
224,2146272460.8
225,2146209792.0
226,2147932160.0
227,2148205363.2
