index,mean
1,32986866.263165414
2,32937712.137942832
3,32880758.231789406
4,33039029.27695101
5,32322035.368146777
6,31684051.870059926
7,31638414.956716437
8,32827200.769959547
9,33093020.8471039
10,32463005.68015574
11,33003808.500364874
12,32941458.265644975
13,32881806.002736233
14,33610689.20955331
15,33613123.39966943
16,33612927.067573816
17,33599786.429604754
18,33599786.53338782
19,33039842.558134567
20,32977734.033355374
21,33586073.56514667
22,32930964.449347194
23,33588474.95323578
24,33607066.19153529
25,33590417.431561805
26,33000688.45531411
27,31910169.54961996
28,33584596.04671926
29,33596808.369537
30,33596808.369537
31,33596808.369537
32,33600231.79316924
33,33034012.75347091
34,33096213.177405626
35,33601529.6511404
36,33601529.6511404
37,33601529.6511404
38,33527055.826491714
39,33527055.826491714
40,32233491.182561085
41,31172878.430694137
42,30979667.917753775
43,30942377.707975242
44,30738980.215595663
45,31200875.70030513
46,30094982.744782116
47,30323289.889905952
48,31234379.13217481
49,31165246.45934979
50,31044890.92593884
51,31932373.469655104
52,31414944.035536863
53,31418014.790435318
54,31357833.41519137
55,31208627.23394917
56,31036186.024458595
57,31141114.76283285
58,31121637.181055877
59,30330272.48275337
60,29817797.144724656
61,29921916.709494263
62,31582355.338898234
63,31542489.39562072
64,31137807.741924666
65,32022445.204750136
66,32078192.038995557
67,31668331.67755129
68,31906284.23331718
69,31137763.083525147
70,31160846.484519742
71,31493631.396969218
72,31827767.858798373
73,31831514.48662637
74,31166468.656124678
75,30991298.26890747
76,31585531.884117078
77,32355477.459311448
78,33212390.981195573
79,33462959.304833755
80,33462959.304833755
81,33398564.400847893
82,33398564.400847893
83,33813895.338421956
84,33878385.60473219
85,32815984.028837156
86,32587103.699865475
87,33296971.914827265
88,34263249.45991608
89,35087430.6419419
90,35650454.22843221
91,35662542.40411665
92,35838895.834775336
93,36483361.62827518
94,35922506.11085395
95,35874422.16362748
96,36520380.76587735
97,36520380.76587735
98,36148233.48097616
99,36749072.74301072
100,36162609.92109023
101,36157365.77027896
102,35631960.79273727
103,36258797.12486342
104,35596731.047543526
105,35606715.43625428
106,35884728.20959183
107,36972416.3493242
108,36991542.17085274
109,36991542.17085274
110,36991542.17085274
111,37000049.59749018
112,37006206.647856385
113,36313116.9621871
114,36375080.59134668
115,36435030.74610531
116,36504060.6006074
117,35909749.52349592
118,35192154.36910788
119,36390991.062353656
120,37062292.29123798
121,37066573.83332954
122,36431169.86015608
123,35910559.354167566
124,36033855.425866745
125,36559234.634315334
126,37059844.153450094
127,37048450.08931518
128,37048450.08931518
129,36483115.78257564
130,36421276.57571185
131,35320394.42242094
132,35858657.06036959
133,35346150.72022547
134,35284496.773584425
135,37050965.01592623
136,37038601.612491965
137,37038649.29584982
138,36395887.03957666
139,35882193.498596475
140,36522823.640446566
141,37042890.12331055
142,37042890.12331055
143,36465829.228360645
144,36408182.78667116
145,36346438.79744618
146,36293158.95800331
147,37020626.576101325
148,37021974.60253531
149,36501527.240109205
150,36439815.07177158
151,36387884.610016614
152,36326172.441678986
153,36264460.27334136
154,36205650.08414867
155,37033771.083439894
156,37027530.99879883
157,37029847.09936448
158,37036090.947457924
159,37033759.899865136
160,37028376.40638922
161,36341574.86535961
162,36408267.32452706
163,34843910.63020371
164,35782603.77647326
165,35111318.348876685
166,35827738.322150275
167,35944091.12217576
168,35923777.542767
169,36487959.70018465
170,36426149.0645953
171,35834189.23616366
172,36599287.99283287
173,36325812.702535205
174,36379330.551295154
175,36442742.94024522
176,36504246.43782742
177,36560488.5878682
178,37054052.359866254
179,37056819.79956815
180,36443665.169922896
181,36504546.18624922
182,37053754.89741101
183,36401664.61164498
184,36463590.428668514
185,35971202.77606013
186,35918357.900213465
187,35113860.39105519
188,34384686.06405359
189,36346574.452037215
190,37051961.96082084
191,37056109.10842076
192,36018845.15677101
193,35895229.894835636
194,37051582.98719182
195,36407831.14104183
196,37069014.84083581
197,37063183.13304849
198,37063183.13304849
199,37057507.86032
200,37060188.43330538
201,37060665.44163971
202,37060665.44163971
203,37060665.44163971
204,37060665.44163971
205,37066549.47061099
206,36329994.0077455
207,36393249.894360244
208,35825898.565938145
209,33146312.273733016
210,34839529.19348437
211,35973572.33841336
212,37112790.506041065
213,36511300.0717942
214,35798554.137133546
215,36022402.25255588
216,37137129.10465972
217,37147332.10496037
218,37147332.10496037
219,37152361.05113552
220,37152361.05113552
221,37152361.05113552
222,36495015.49661833
223,36562863.13880483
224,36633868.27141103
225,36708465.52491932
226,37238807.292771205
227,37248433.00418864
