index,mean
1,848036.9477
2,848036.95
3,848036.9531
4,848036.9542
5,848036.9547
6,848036.9533
7,848036.9494
8,848036.9519
9,848036.9567
10,848036.9606
11,848036.9588
12,848036.9504
13,848036.9555
14,848036.9541
15,848036.9507
16,848036.9545
17,848036.9558
18,848036.9493
19,848036.9507
20,848036.9569999999
21,848036.9564
22,848036.9588
23,848036.9587
24,848036.9667
25,848036.9602
26,848036.9573
27,848036.9559000001
28,848036.9532
29,848036.9497
30,848036.9601
31,848036.9545
32,848036.9566
33,848036.9546
34,848036.9499
35,848036.9532999999
36,848036.9527
37,848036.9505
38,848036.9642
39,848036.959
40,848036.9571
41,848036.9585
42,848036.9492
43,848036.9566
44,848036.9582
45,848036.9512
46,848036.9524
47,848036.9492
48,848036.9532999999
49,848036.9464
50,848036.951
51,848036.9469
52,848036.9501
53,848036.9554999999
54,848036.9521999999
55,848036.9516
56,848036.952
57,848036.946
58,848036.9551
59,848036.9561000001
60,848036.9481
61,848036.9536
62,848036.9489
63,848036.946
64,848036.9572
65,848036.9536
66,848036.957
67,848036.9576
68,848036.953
69,848036.9565
70,848036.9575
71,848036.9586
72,848036.9532
73,848036.9476
74,848036.9529
75,848036.9686
76,848036.9591
77,848036.9517
78,848036.9637
79,848036.9642
80,848036.9566
81,848036.949
82,848036.9539
83,848036.9582999999
84,848036.9717999999
85,848036.9628
86,848036.9525
87,848036.9502
88,848036.9558
89,848036.9498000001
90,848036.9558
91,848036.961
92,848036.9519
93,848036.9505
94,848036.9439
95,848036.9485
96,848036.9513
97,848036.9532
98,848036.9536
99,848036.9525
100,848036.9552
101,848036.9579
102,848036.9537
103,848036.9505
104,848036.9538
105,848036.9535
106,848036.9571
107,848036.9569
108,848036.9526
109,848036.951
110,848036.9508
111,848036.9472
112,848036.9546
113,848036.9536
114,848036.9563
115,848036.9551
116,848036.9594
117,848036.9578
118,848036.9638
119,848036.9617
120,848036.9553
121,848036.9619999999
122,848036.9561
123,848036.9515
124,848036.9528
125,848036.9544
126,848036.9509
127,848036.9517
128,848036.9543
129,848036.9605
130,848036.953
131,848036.9601
132,848036.9659
133,848036.9586
134,848036.9580999999
135,848036.9457
136,848036.9532
137,848036.9555
138,848036.9581
139,848036.9498000001
140,848036.9493
141,848036.9525
142,848036.9564
143,848036.9569
144,848036.9686
145,848036.9656
146,848036.9577
147,848036.9538
148,848036.9563
149,848036.9556
150,848036.957
151,848036.9537
152,848036.9551
153,848036.9474
154,848036.951
155,848036.9582
156,848036.9525
157,848036.9538
158,848036.9529
159,848036.9523
160,848036.9492
161,848036.9549
162,848036.959
163,848036.9605
164,848036.952
165,848036.9537
166,848036.9523
167,848036.9514
168,848036.9532
169,848036.9481
170,848036.9488
171,848036.9528
172,848036.9621
173,848036.9645
174,848036.9516
175,848036.9584
176,848036.9535
177,848036.9635
178,848036.9581
179,848036.9586
180,848036.9617
181,848036.9572
182,848036.9565
183,848036.9574
184,848036.9502
185,848036.9507
186,848036.9542
187,848036.9593
188,848036.9566
189,848036.9591
190,848036.9528
191,848036.9569
192,848036.9671
193,848036.971
194,848036.9652
195,848036.9605
196,848036.965
197,848036.9508
198,848036.9544
199,848036.9702
200,848036.9670000001
201,848036.967
202,848036.9593999999
203,848036.9589
204,848036.9517
205,848036.9593
206,848036.9601
207,848036.9591
208,848036.9611
209,848036.9576
210,848036.9618
211,848036.9512
212,848036.9535000001
213,848036.9466
214,848036.9497
215,848036.9505
216,848036.9446
217,848036.9437
218,848036.9475
219,848036.943
220,848036.9485
221,848036.9453
