index,mean
1,848036.8231
2,848036.8241
3,848036.8253
4,848036.8285
5,848036.8272
6,848036.8263000001
7,848036.8252
8,848036.8259
9,848036.826
10,848036.8307
11,848036.8277
12,848036.8284
13,848036.8286
14,848036.8282
15,848036.8286
16,848036.826
17,848036.8304
18,848036.8323
19,848036.8261
20,848036.8253
21,848036.8286
22,848036.8203
23,848036.8207
24,848036.8219
25,848036.8215
26,848036.8211000001
27,848036.8231
28,848036.8271
29,848036.8276
30,848036.8216
31,848036.8245
32,848036.8298
33,848036.8212
34,848036.8315
35,848036.8277
36,848036.8291
37,848036.8259
38,848036.8235
39,848036.8289
40,848036.8289
41,848036.8298000001
42,848036.8299
43,848036.823
44,848036.8272
45,848036.8304
46,848036.8278
47,848036.8307
48,848036.8262
49,848036.8256
50,848036.8208999999
51,848036.8279
52,848036.8242
53,848036.8299
54,848036.8285000001
55,848036.8243
56,848036.8261000001
57,848036.8255
58,848036.8221
59,848036.8284
60,848036.8324
61,848036.8276
62,848036.8237000001
63,848036.8257
64,848036.8271
65,848036.8336
66,848036.8247
67,848036.828
68,848036.8301
69,848036.8245
70,848036.83
71,848036.833
72,848036.8267
73,848036.8349
74,848036.8299
75,848036.8321
76,848036.8288
77,848036.8318
78,848036.8287
79,848036.8277
80,848036.8272
81,848036.8306
82,848036.8241
83,848036.8274
84,848036.8293
85,848036.8302
86,848036.8258
87,848036.8319999999
88,848036.8253
89,848036.8326
90,848036.8269
91,848036.8312
92,848036.833
93,848036.8238
94,848036.8324
95,848036.8241
96,848036.8228
97,848036.8293
98,848036.8229
99,848036.8241
100,848036.8245
101,848036.8267
102,848036.8234999999
103,848036.8256
104,848036.8216
105,848036.8275
106,848036.8282
107,848036.8309
108,848036.8316
109,848036.8302
110,848036.8301
111,848036.8282
112,848036.8293
113,848036.8306999999
114,848036.8282
115,848036.8319
116,848036.822
117,848036.8318
118,848036.8286
119,848036.8307
120,848036.8335
121,848036.8223
122,848036.8326
123,848036.8332
124,848036.8303
125,848036.827
126,848036.8302
127,848036.828
128,848036.8224000001
129,848036.829
130,848036.8309000001
131,848036.8251
132,848036.8327
133,848036.8287
134,848036.8326
135,848036.8312
136,848036.8251
137,848036.8313
138,848036.8315
139,848036.8239
140,848036.8242
141,848036.8267
142,848036.8254
143,848036.8295999999
144,848036.8269
145,848036.8323
146,848036.8307
147,848036.8253
148,848036.8295
149,848036.8254
150,848036.8236
151,848036.8234
152,848036.8245
153,848036.8216
154,848036.8201
155,848036.8241
156,848036.822
157,848036.8267
158,848036.8289
159,848036.826
160,848036.8296
161,848036.8284
162,848036.829
163,848036.8307
164,848036.8297
165,848036.8238
166,848036.8313
167,848036.8354
168,848036.8271
169,848036.8282
170,848036.8299
171,848036.8278
172,848036.8242
173,848036.8281
174,848036.8297
175,848036.8284
176,848036.835
177,848036.8295
178,848036.8266
179,848036.8261
180,848036.8282
181,848036.8304
182,848036.8283
183,848036.833
184,848036.8242
185,848036.8279
186,848036.8322000001
187,848036.8309000001
188,848036.8277
189,848036.82
190,848036.8286
191,848036.8193
192,848036.8252
193,848036.8238
194,848036.8279
195,848036.8284
196,848036.8261
197,848036.8291
198,848036.8337
199,848036.8286
200,848036.8327
201,848036.8225
202,848036.8225
203,848036.8333
204,848036.8248
205,848036.8262
206,848036.8295
207,848036.8247
208,848036.8266
209,848036.8283
210,848036.8261
211,848036.8303
212,848036.8264
213,848036.8298
214,848036.8261
215,848036.8275
216,848036.827
217,848036.8213
218,848036.8286
219,848036.824
220,848036.8225
221,848036.8236
222,848036.8229
223,848036.8262
