index,mean
1,10.3059
2,10.2057
3,10.1198
4,10.0618
5,10.0541
6,10.0156
7,10.0082
8,9.9861
9,9.9979
10,9.9877
11,9.9975
12,9.9886
13,9.9945
14,9.9807
15,9.9738
16,9.9812
17,9.9707
18,9.9716
19,9.9737
20,9.9761
21,9.975200000000001
22,9.9698
23,9.9674
24,9.9726
25,9.9732
26,9.975200000000001
27,9.9708
28,9.9735
29,9.9725
30,9.973600000000001
31,9.9734
32,9.9786
33,9.9749
34,9.9775
35,9.9759
36,9.9769
37,9.9777
38,9.9771
39,9.9779
40,9.9769
41,9.975999999999999
42,9.9756
43,9.9773
44,9.976
45,9.9814
46,9.9795
47,9.9809
48,9.979700000000001
49,9.9769
50,9.9789
51,9.9808
52,9.9801
53,9.9806
54,9.9805
55,9.9794
56,9.982
57,9.978
58,9.98
59,9.9811
60,9.982
61,9.9774
62,9.9778
63,9.9801
64,9.9792
65,9.9781
66,9.979
67,9.9799
68,9.980699999999999
69,9.9806
70,9.9789
71,9.9785
72,9.9808
73,9.98
74,9.9774
75,9.9809
76,9.9814
77,9.9798
78,9.9786
79,9.9789
80,9.9798
81,9.979800000000001
82,9.9779
83,9.9799
84,9.9766
85,9.9779
86,9.9779
87,9.9794
88,9.9784
89,9.9798
90,9.9795
91,9.9789
92,9.9785
93,9.9772
94,9.9795
95,9.98
96,9.9774
97,9.9783
98,9.98
99,9.9775
100,9.9785
101,9.9784
102,9.9793
103,9.9792
104,9.9774
105,9.9756
106,9.9768
107,9.9784
108,9.9785
109,9.9775
110,9.9768
111,9.9771
112,9.9779
113,9.978
114,9.9768
115,9.979099999999999
116,9.976700000000001
117,9.9772
118,9.9768
119,9.9766
120,9.9754
121,9.9746
122,9.9746
123,9.9734
124,9.9732
125,9.9726
126,9.9741
127,9.9751
128,9.9728
129,9.9729
130,9.9742
131,9.9729
132,9.9738
133,9.9724
134,9.9729
135,9.9713
136,9.9726
137,9.9729
138,9.9733
139,9.9735
140,9.9735
141,9.9743
142,9.9738
143,9.9746
144,9.9744
145,9.974599999999999
146,9.9751
147,9.974499999999999
148,9.9749
149,9.9751
150,9.9752
151,9.9749
152,9.9741
153,9.9742
154,9.9743
155,9.9744
156,9.9734
157,9.9749
158,9.9749
159,9.9752
160,9.9749
161,9.974499999999999
162,9.9739
163,9.974
164,9.9742
165,9.975
166,9.9734
167,9.973700000000001
168,9.9738
169,9.9734
170,9.973700000000001
171,9.9734
172,9.9747
173,9.974
174,9.9749
175,9.9736
176,9.9744
177,9.9743
178,9.9741
179,9.9749
180,9.9744
181,9.9736
182,9.9744
183,9.9741
184,9.9751
185,9.9749
186,9.9751
187,9.9749
188,9.9741
189,9.9747
190,9.9743
191,9.9725
192,9.9724
193,9.9731
194,9.9729
195,9.973
196,9.9718
197,9.9713
198,9.9716
199,9.9723
200,9.9718
201,9.9732
202,9.9722
203,9.9724
204,9.9735
205,9.973
206,9.9733
207,9.973
208,9.9731
209,9.972900000000001
