index,mean
1,1714314854.4
2,1714510643.2
3,1714510643.2
4,1714510643.2
5,1714632294.4
6,1714632294.4
7,1714632294.4
8,1714632294.4
9,1714632294.4
10,1714929664.0
11,1715054592.0
12,1715054592.0
13,1715362611.2
14,1715569459.2
15,1715569459.2
16,1719952179.2
17,1720089804.8
18,1720107417.6
19,1720125030.4
20,1720125030.4
21,1720125030.4
22,1720294195.2
23,1720294195.2
24,1720412569.6
25,1720494489.6
26,1720456806.4
27,1720456806.4
28,1720456806.4
29,1720593203.2
30,1720593203.2
31,1720692326.4
32,1720677580.8
33,1720677580.8
34,1720719769.6
35,1720610816.0
36,1720624332.8
37,1720592793.6
38,1720592793.6
39,1720632115.2
40,1720632115.2
41,1720632115.2
42,1720714854.4
43,1721215795.2
44,1721215795.2
45,1721215795.2
46,1722450739.2
47,1722465484.8
48,1723886387.2
49,1725533388.8
50,1727427788.8
51,1727802572.8
52,1727805440.0
53,1728916684.8
54,1730095513.6
55,1730114764.8
56,1730117632.0
57,1730204057.6
58,1730207744.0
59,1730221260.8
60,1730770534.4
61,1731017932.8
62,1731017932.8
63,1731115008.0
64,1731115008.0
65,1731115008.0
66,1731295641.6
67,1731295641.6
68,1731493888.0
69,1731493888.0
70,1731585638.4
71,1731585638.4
72,1731748249.6
73,1731847372.8
74,1731847372.8
75,1731894886.4
76,1731894886.4
77,1732067328.0
78,1732210688.0
79,1732446617.6
80,1732446617.6
81,1732797235.2
82,1732797235.2
83,1732797235.2
84,1732923801.6
85,1733064704.0
86,1733064704.0
87,1733163417.6
88,1733472665.6
89,1733472665.6
90,1733472665.6
91,1733472665.6
92,1733645516.8
93,1733645516.8
94,1733645516.8
95,1733820416.0
96,1733999820.8
97,1733999820.8
98,1734270156.8
99,1734270156.8
100,1734270156.8
101,1734270156.8
102,1734270156.8
103,1734646988.8
104,1734646988.8
105,1734706790.4
106,1734706790.4
107,1735109017.6
108,1735109017.6
109,1735109017.6
110,1735109017.6
111,1735109017.6
112,1735109017.6
113,1735263846.4
114,1735430553.6
115,1735643136.0
116,1735643136.0
117,1735643136.0
118,1735783628.8
119,1735791820.8
120,1735960576.0
121,1736189132.8
122,1736290304.0
123,1736290304.0
124,1736290304.0
125,1736290304.0
126,1736375500.8
127,1736375500.8
128,1736518451.2
129,1736702771.2
130,1736870297.6
131,1736870297.6
132,1736870297.6
133,1736942387.2
134,1736942387.2
135,1737039462.4
136,1737290547.2
137,1737530163.2
138,1737530163.2
139,1737530163.2
140,1737530163.2
141,1737530163.2
142,1737544499.2
143,1737871769.6
144,1737871769.6
145,1737871769.6
146,1737871769.6
147,1738061004.8
148,1738132275.2
149,1738132275.2
150,1738496409.6
151,1738496409.6
152,1738638131.2
153,1738638131.2
154,1738711449.6
155,1738979737.6
156,1738979737.6
157,1738979737.6
158,1738979737.6
159,1738979737.6
160,1738979737.6
161,1738929356.8
162,1739139072.0
163,1739447500.8
164,1739447500.8
165,1739588812.8
166,1739751424.0
167,1739751424.0
168,1739751424.0
169,1739751424.0
170,1739954995.2
171,1740102860.8
172,1740345753.6
173,1740632064.0
174,1740632064.0
175,1740632064.0
176,1740632064.0
177,1740682854.4
178,1740813107.2
179,1740813107.2
180,1740813107.2
181,1740973260.8
182,1740973260.8
183,1741104332.8
184,1741377945.6
185,1741377945.6
186,1741377945.6
187,1741652787.2
188,1741598720.0
189,1741655654.4
190,1741655654.4
191,1741655654.4
192,1741655654.4
193,1741655654.4
194,1741655654.4
195,1741655654.4
196,1741829734.4
197,1741945651.2
198,1741945651.2
199,1741945651.2
200,1742108672.0
201,1742506803.2
202,1742809497.6
203,1742927872.0
204,1743106048.0
205,1743106048.0
206,1743106048.0
207,1743106048.0
208,1743244902.4
209,1743244902.4
210,1743244902.4
211,1743397273.6
212,1743689728.0
213,1743689728.0
214,1743689728.0
215,1743689728.0
216,1743688908.8
217,1743779430.4
218,1744170188.8
219,1744276684.8
220,1744395878.4
221,1744395878.4
222,1744395878.4
223,1744423321.6
224,1744505651.2
225,1744463462.4
226,1744606412.8
227,1744605593.6
