index,mean
1,73757914.6108537
2,74335122.86355068
3,74180380.30409363
4,74268551.72630101
5,74335392.77789976
6,74402872.59679177
7,74910892.92164738
8,74343902.4562163
9,74293011.43990165
10,74947058.87070604
11,73135667.37610233
12,73814002.83239415
13,74311913.854456
14,74254618.42079856
15,73625039.22131571
16,74651986.54874036
17,72710861.25976646
18,72165243.30895151
19,73059575.43888168
20,73771400.10998403
21,71959732.15326223
22,73693227.96260457
23,74386313.46377173
24,74450515.18390708
25,74939544.12652843
26,74342931.06102982
27,73064074.45115751
28,73532074.03662384
29,73679392.33048254
30,73733678.49920405
31,73167890.44097507
32,74489625.34602119
33,73956823.9583238
34,73771879.76358458
35,73247599.47260652
36,73240745.55830592
37,71388091.06154908
38,71122885.8089144
39,70902188.55245565
40,70612195.60147284
41,70470350.37158822
42,71126550.36741538
43,71129175.28356813
44,70601670.25240949
45,70020841.17219621
46,69251123.3721063
47,68423983.66356327
48,68603366.06846505
49,66765018.98907975
50,67420512.91590303
51,67172442.1607697
52,65726604.0890638
53,65010441.78076807
54,66364722.22790282
55,66268627.2105348
56,64370269.39915156
57,64259612.51817403
58,63540057.0320135
59,64556410.03249366
60,65265811.96273609
61,65392227.29265916
62,64920514.08274291
63,63817772.17492743
64,62478410.44039502
65,62637998.238008514
66,63222935.091532305
67,64499517.978053845
68,65288677.42157903
69,65211651.27909264
70,63851919.96855058
71,63131945.07132038
72,64019805.12749012
73,63172614.371056885
74,62394751.24315415
75,62915376.6688217
76,64190574.33354684
77,64911643.48785884
78,64900403.26169159
79,66947729.19629978
80,66709686.52955645
81,67415983.2639177
82,67001794.38958114
83,67048409.723984614
84,66414009.62063081
85,68622186.34116085
86,68914518.55621497
87,68969182.60388505
88,69070453.93525116
89,69571617.6857954
90,69067050.85247701
91,68881348.85386786
92,70154105.18196064
93,69816748.00291076
94,70169145.99626403
95,70386383.98910463
96,72227404.75450228
97,72374788.88237569
98,72010400.84296635
99,73305983.74888888
100,73969189.67637
101,73456484.63354747
102,71938310.048403
103,73011620.10493544
104,73505987.5088281
105,73448791.13191645
106,73450992.7950212
107,73507342.73805915
108,73619000.28505382
109,72985115.30332336
110,72589397.19936542
111,72660036.13922839
112,72649996.84584543
113,72584936.51785007
114,71853938.98819566
115,71862397.99371792
116,72569512.52657264
117,71235713.24022071
118,72060161.97511505
119,71899153.13416895
120,72811806.86120972
121,73239380.20114866
122,73236872.41499221
123,72576316.21093583
124,73296271.70867687
125,72602948.76203002
126,73141156.90409452
127,73083466.18882103
128,72955927.1305511
129,74417917.17054084
130,74409339.24158339
131,74406076.04070649
132,74399754.99237663
133,74389884.36460136
134,74380865.29491782
135,72734828.42589949
136,73080982.69240326
137,73111111.90652524
138,73230244.08922866
139,73224298.34116924
140,74345973.3982114
141,73224445.42155263
142,73732688.93097699
143,74330444.98266207
144,73752038.20754556
145,72480537.17366879
146,72294166.7721353
147,74293267.31182837
148,71883213.18299666
149,72350395.44075696
150,73678400.62499821
151,73741838.76666597
152,73080237.0284644
153,72956687.52509134
154,73594971.71477184
155,73109498.85114133
156,72224343.73219581
157,72286261.79109193
158,71062524.54164228
159,71049851.99722447
160,70629245.18527853
161,71296547.86826886
162,73635134.58292837
163,73121182.73839018
164,73129143.89960682
165,73601439.38498531
166,74309358.63715118
167,73731169.99946319
168,73796789.12018491
169,72796152.41409847
170,72622633.63241324
171,73678621.7380944
172,73621345.86772956
173,74339410.94757622
174,73815352.34327629
175,73759333.87858573
176,73703336.14059328
177,73696126.50704147
178,73334542.80169049
179,73225459.40386924
180,73112615.55635382
181,73719000.610831
182,74393403.18217406
183,74400015.0834335
184,73858224.72528411
185,74388638.71274878
186,73871124.78640391
187,72764403.80268256
188,72633809.43845776
189,73141985.25830379
190,73829793.7316064
191,74411158.17527531
192,73700417.72273436
193,73158135.12239207
194,72569400.43141983
195,71683732.14759621
196,71532320.2009907
197,73073843.68202491
198,73879218.03301644
199,74451872.10128778
200,73360864.71551803
201,73309619.57061386
202,71424530.08409955
203,71258282.47824635
204,72633328.87702075
205,72571242.6944564
206,72509156.51189205
207,73065115.52527785
208,73976411.20342728
209,73496434.24562815
210,73995683.47723539
211,73940109.26257774
212,73254218.66703461
213,73438820.20626289
214,73923345.67418474
215,72920715.62621862
216,72995045.3662469
217,74059785.8267554
218,74011188.50195102
219,74707896.00517686
220,74721496.31520438
221,74253289.84292474
222,73584428.99348536
223,74783616.78758363
224,73993675.65654671
225,73376353.23246615
226,73532315.64448434
227,73663281.48278442
