index,mean
1,852153.3467
2,852153.3368
3,852153.3319999999
4,852153.3396
5,852153.3434
6,852153.3301
7,852153.33
8,852153.3396
9,852153.3441
10,852153.3441999999
11,852153.3409
12,852153.338
13,852153.3282
14,852153.3373
15,852153.3319
16,852153.3179
17,852153.3145
18,852153.3239
19,852153.3347
20,852153.3393999999
21,852153.333
22,852153.3362
23,852153.3396
24,852153.3358
25,852153.3482
26,852153.3353
27,852153.3285000001
28,852153.3576
29,852153.3578
30,852153.3523
31,852153.3626
32,852153.3526
33,852153.3474
34,852153.3406
35,852153.3233
36,852153.3296
37,852153.3398
38,852153.3433
39,852153.3381
40,852153.3303
41,852153.3339
42,852153.3433000001
43,852153.3378
44,852153.3435
45,852153.3562
46,852153.3449
47,852153.337
48,852153.329
49,852153.3388
50,852153.3425
51,852153.3478
52,852153.3514
53,852153.3393999999
54,852153.344
55,852153.3619
56,852153.3772
57,852153.3588
58,852153.334
59,852153.3399
60,852153.3432
61,852153.3407000001
62,852153.3433
63,852153.3537
64,852153.3608
65,852153.3573
66,852153.3488
67,852153.3392
68,852153.3403
69,852153.348
70,852153.3606
71,852153.3585
72,852153.3518
73,852153.3469
74,852153.3602
75,852153.3595
76,852153.3665
77,852153.3536
78,852153.3541
79,852153.3533
80,852153.3556
81,852153.3515
82,852153.3506
83,852153.3445
84,852153.3466
85,852153.3484
86,852153.3452
87,852153.3515
88,852153.3615
89,852153.3668
90,852153.342
91,852153.3283
92,852153.3305
93,852153.3413
94,852153.3532
95,852153.3523
96,852153.3428
97,852153.3518000001
98,852153.3534
99,852153.3656
100,852153.3623
101,852153.3555000001
102,852153.3571
103,852153.3603
104,852153.3626
105,852153.3545
106,852153.3498
107,852153.354
108,852153.3558
109,852153.3569
110,852153.3506
111,852153.3528
112,852153.3625
113,852153.3737
114,852153.3633
115,852153.3531
116,852153.3636
117,852153.3591
118,852153.3519
119,852153.3433000001
120,852153.3392
121,852153.3532
122,852153.3517
123,852153.3546
124,852153.3548
125,852153.3651
126,852153.3749
127,852153.3671
128,852153.3587
129,852153.3648
130,852153.3453
131,852153.3454
132,852153.3667
133,852153.3577
134,852153.3354
135,852153.3344
136,852153.358
137,852153.3569
138,852153.3581
139,852153.3576
140,852153.3494
141,852153.3521
142,852153.3622
143,852153.3574999999
144,852153.3572
145,852153.3579
146,852153.3579000001
147,852153.3542
148,852153.3489999999
149,852153.3640000001
150,852153.3721
151,852153.3583
152,852153.3558
153,852153.362
154,852153.3702
155,852153.3562
156,852153.3600999999
157,852153.3536
158,852153.3573
159,852153.3615
160,852153.3658
161,852153.3605
162,852153.3578
163,852153.3443
164,852153.3424
165,852153.3501
166,852153.3489
167,852153.3454
168,852153.3542
169,852153.3517
170,852153.3558
171,852153.3535
172,852153.3528
173,852153.3348
174,852153.3383000001
175,852153.3514
176,852153.348
177,852153.3556
178,852153.36
179,852153.3608
180,852153.3536
181,852153.3563
182,852153.3501
183,852153.3407
184,852153.3416
185,852153.3448
186,852153.3394
187,852153.3425
188,852153.3348
189,852153.3341
190,852153.3414
191,852153.355
192,852153.3621
193,852153.3719
194,852153.3621
195,852153.352
196,852153.3447
197,852153.3476999999
198,852153.3523
199,852153.3554
200,852153.3478
201,852153.352
202,852153.3525
203,852153.3531000001
204,852153.3662
205,852153.3765
206,852153.3623
207,852153.3513
208,852153.3603000001
209,852153.373
210,852153.3527
211,852153.328
212,852153.3141
213,852153.3138
214,852153.3493
215,852153.3526
216,852153.3193
217,852153.3119
218,852153.3066
219,852153.3173
220,852153.3339
