index,mean
1,852152.1717
2,852152.1717000001
3,852152.1745
4,852152.1715
5,852152.1704
6,852152.1719
7,852152.1698
8,852152.1703
9,852152.1706000001
10,852152.1687
11,852152.167
12,852152.1733
13,852152.1677
14,852152.1747
15,852152.1717
16,852152.174
17,852152.1731
18,852152.1738
19,852152.1668
20,852152.1703
21,852152.1645
22,852152.1708
23,852152.1701
24,852152.1696
25,852152.1714
26,852152.1703
27,852152.1716
28,852152.1724
29,852152.1680000001
30,852152.1741
31,852152.1714999999
32,852152.1682
33,852152.1712
34,852152.1727
35,852152.1674
36,852152.1706000001
37,852152.1713
38,852152.1732
39,852152.1681
40,852152.1685
41,852152.1747
42,852152.1725
43,852152.1682
44,852152.1681
45,852152.1732
46,852152.1706
47,852152.1757
48,852152.1699
49,852152.1748
50,852152.1677
51,852152.1731
52,852152.1729
53,852152.1711
54,852152.1727
55,852152.1625
56,852152.1686
57,852152.1741
58,852152.1729
59,852152.171
60,852152.1761
61,852152.1693
62,852152.172
63,852152.1713
64,852152.1684
65,852152.1714
66,852152.1756
67,852152.1683
68,852152.1690999999
69,852152.1745
70,852152.1727
71,852152.172
72,852152.1728
73,852152.175
74,852152.1751
75,852152.1697
76,852152.1714
77,852152.1725999999
78,852152.1714999999
79,852152.1671
80,852152.1656
81,852152.1706
82,852152.1633
83,852152.1688999999
84,852152.173
85,852152.167
86,852152.1688
87,852152.1682
88,852152.1732
89,852152.169
90,852152.1648
91,852152.1746
92,852152.172
93,852152.173
94,852152.1709
95,852152.173
96,852152.1719
97,852152.1774
98,852152.1662
99,852152.1727
100,852152.1685
101,852152.1717000001
102,852152.1669
103,852152.1682
104,852152.1725
105,852152.1749
106,852152.1675
107,852152.1712
108,852152.1729
109,852152.1721
110,852152.1733
111,852152.169
112,852152.1723
113,852152.1723
114,852152.1693
115,852152.1708
116,852152.1673
117,852152.1708
118,852152.1687
119,852152.1696
120,852152.1719
121,852152.168
122,852152.1675
123,852152.1702
124,852152.1748
125,852152.1684
126,852152.1696
127,852152.1723
128,852152.1722
129,852152.1696
130,852152.1776
131,852152.1663
132,852152.1699999999
133,852152.1708
134,852152.1725
135,852152.1688
136,852152.1701
137,852152.1677999999
138,852152.173
139,852152.1695
140,852152.1692
141,852152.1681
142,852152.1709
143,852152.1734
144,852152.1743
145,852152.1719
146,852152.1747
147,852152.1779
148,852152.1773
149,852152.1695
150,852152.1666
151,852152.1764
152,852152.1783
153,852152.1666
154,852152.1703
155,852152.1673
156,852152.1692
157,852152.1701
158,852152.1685
159,852152.1714999999
160,852152.1685
161,852152.1713
162,852152.1725999999
163,852152.1723
164,852152.176
165,852152.1679
166,852152.1775
167,852152.173
168,852152.1754
169,852152.1767
170,852152.1698
171,852152.1773
172,852152.1714
173,852152.1755
174,852152.172
175,852152.1673
176,852152.1742
177,852152.1744
178,852152.1758
179,852152.1761
180,852152.171
181,852152.1775
182,852152.1685
183,852152.1709
184,852152.1703
185,852152.1672
186,852152.1691
187,852152.173
188,852152.1678
189,852152.169
190,852152.1697
191,852152.1679
192,852152.1639
193,852152.1729
194,852152.1736
195,852152.1680000001
196,852152.1697
197,852152.1647
198,852152.1701
199,852152.1715
200,852152.1706
201,852152.1728000001
202,852152.1688
203,852152.1736
204,852152.1754000001
205,852152.1707
206,852152.1695
207,852152.175
208,852152.1672
209,852152.1690999999
210,852152.1739
211,852152.1745
212,852152.174
213,852152.1678
214,852152.1749
215,852152.1662
216,852152.1719
217,852152.1705
218,852152.1771
219,852152.1653
220,852152.1649
221,852152.1648
222,852152.1691
223,852152.1656
