index,mean
1,4.7659
2,4.7346
3,4.7966999999999995
4,4.8511
5,4.9027
6,4.9173
7,4.8602
8,4.837
9,4.815
10,4.8245000000000005
11,4.8481
12,4.8812
13,4.8744000000000005
14,4.8958
15,4.9106
16,4.9093
17,4.9117999999999995
18,4.902
19,4.9084
20,4.9075
21,4.895
22,4.8993
23,4.8942
24,4.8941
25,4.8829
26,4.8597
27,4.8295
28,4.805
29,4.808
30,4.8011
31,4.8019
32,4.7895
33,4.7842
34,4.787
35,4.7775
36,4.7712
37,4.7722
38,4.761
39,4.757
40,4.7538
41,4.7538
42,4.7527
43,4.7548
44,4.7509999999999994
45,4.7485
46,4.7409
47,4.7393
48,4.7306
49,4.7238
50,4.7163
51,4.7118
52,4.7077
53,4.7122
54,4.7105
55,4.7101
56,4.7053
57,4.6932
58,4.6923
59,4.6874
60,4.6843
61,4.6816
62,4.6872
63,4.6794
64,4.6699
65,4.6636999999999995
66,4.6615
67,4.66
68,4.6598
69,4.6591000000000005
70,4.6562
71,4.6521
72,4.6475
73,4.6472
74,4.6484
75,4.6453
76,4.6414
77,4.6343
78,4.6327
79,4.6304
80,4.6303
81,4.6289
82,4.6267
83,4.6268
84,4.6242
85,4.6173
86,4.6137
87,4.6101
88,4.6105
89,4.6063
90,4.602
91,4.5984
92,4.5953
93,4.5977
94,4.5982
95,4.5953
96,4.5934
97,4.5918
98,4.5863000000000005
99,4.5869
100,4.5805
101,4.5826
102,4.5816
103,4.5771999999999995
104,4.5747
105,4.5742
106,4.5727
107,4.5702
108,4.5709
109,4.5687
110,4.562
111,4.5595
112,4.5585
113,4.5604
114,4.5576
115,4.5552
116,4.5516
117,4.5555
118,4.5511
119,4.55
120,4.547
121,4.5457
122,4.5469
123,4.5451999999999995
124,4.5435
125,4.5424
126,4.5395
127,4.5379
128,4.5362
129,4.5381
130,4.5367999999999995
131,4.5347
132,4.534
133,4.5306
134,4.5282
135,4.5276
136,4.5254
137,4.5249
138,4.5256
139,4.5253
140,4.5234000000000005
141,4.5214
142,4.5222999999999995
143,4.5243
144,4.5248
145,4.5245
146,4.5236
147,4.5241
148,4.5241
149,4.5241
150,4.5256
151,4.5261
152,4.5264999999999995
153,4.5279
154,4.5281
155,4.5283999999999995
156,4.5294
157,4.5292
158,4.5287
159,4.5289
160,4.5281
161,4.5299000000000005
162,4.5306
163,4.5312
164,4.5325
165,4.5341000000000005
166,4.5347
167,4.534
168,4.5307
169,4.5306
170,4.5344
171,4.5333
172,4.5333000000000006
173,4.5334
174,4.5313
175,4.5312
176,4.5308
177,4.5283999999999995
178,4.5276
179,4.5273
180,4.5245
181,4.5239
182,4.5248
183,4.5253
184,4.5252
185,4.527
186,4.5274
187,4.5299
188,4.5304
189,4.5324
190,4.5344
191,4.5388
192,4.5414
