index,mean
1,2487753932.8
2,2487712153.6
3,2487712563.2
4,2488158617.6
5,2488158617.6
6,2488208998.4
7,2488208998.4
8,2488274534.4
9,2488465817.6
10,2488489574.4
11,2488628019.2
12,2488628019.2
13,2488628019.2
14,2488628019.2
15,2488628019.2
16,2488780390.4
17,2488838144.0
18,2488838144.0
19,2488982323.2
20,2488982323.2
21,2489152716.8
22,2489298534.4
23,2489455411.2
24,2489436979.2
25,2489436979.2
26,2489436979.2
27,2489436979.2
28,2489563136.0
29,2489678233.6
30,2489678233.6
31,2489678233.6
32,2489726976.0
33,2489736396.8
34,2489736396.8
35,2489736396.8
36,2489702809.6
37,2489679872.0
38,2489735987.2
39,2489735987.2
40,2489860915.2
41,2489860915.2
42,2490003046.4
43,2490892288.0
44,2490898432.0
45,2490900070.4
46,2490911539.2
47,2490935705.6
48,2492825600.0
49,2495623577.6
50,2520950784.0
51,2520950784.0
52,2520985600.0
53,2520985600.0
54,2521043763.2
55,2521047449.6
56,2522681753.6
57,2522684211.2
58,2524189491.2
59,2525003366.4
60,2526464819.2
61,2527426560.0
62,2527426560.0
63,2527426560.0
64,2528042598.4
65,2528144998.4
66,2528144998.4
67,2528400179.2
68,2528547225.6
69,2528547225.6
70,2528547225.6
71,2528547225.6
72,2528546406.4
73,2528876544.0
74,2528885145.6
75,2528997785.6
76,2529121075.2
77,2529334886.4
78,2529578188.8
79,2529578188.8
80,2529715814.4
81,2529715814.4
82,2531244851.2
83,2531244851.2
84,2531314073.6
85,2531522150.4
86,2531627417.6
87,2531627417.6
88,2531737190.4
89,2531737190.4
90,2531737600.0
91,2531912089.6
92,2532106240.0
93,2532106240.0
94,2532353228.8
95,2532353228.8
96,2532582604.8
97,2532582604.8
98,2532582604.8
99,2532789043.2
100,2532928307.2
101,2533179801.6
102,2533179801.6
103,2533486182.4
104,2533487001.6
105,2533575065.6
106,2533575065.6
107,2533575065.6
108,2533575065.6
109,2533575065.6
110,2533639372.8
111,2533767168.0
112,2533767168.0
113,2533859737.6
114,2533860556.8
115,2533964595.2
116,2534131712.0
117,2534131712.0
118,2534304563.2
119,2534304563.2
120,2534391398.4
121,2534531481.6
122,2534664192.0
123,2534833766.4
124,2534833766.4
125,2534833766.4
126,2534833766.4
127,2534991052.8
128,2534991052.8
129,2535587020.8
130,2535761920.0
131,2535761920.0
132,2535779532.8
133,2535980236.8
134,2535980236.8
135,2535980236.8
136,2536070758.4
137,2536212070.4
138,2536497971.2
139,2536497971.2
140,2536497971.2
141,2536588902.4
142,2536588902.4
143,2536605696.0
144,2536605696.0
145,2536605696.0
146,2536745779.2
147,2536965324.8
148,2537182412.8
149,2537323315.2
150,2537323315.2
151,2537417932.8
152,2537490841.6
153,2537675571.2
154,2537675571.2
155,2537675571.2
156,2537831219.2
157,2537832038.4
158,2538128588.8
159,2538128588.8
160,2538128588.8
161,2538128588.8
162,2538128588.8
163,2538279731.2
164,2538433331.2
165,2538697932.8
166,2538697932.8
167,2538697932.8
168,2538866278.4
169,2538866278.4
170,2538982604.8
171,2539062886.4
172,2539062886.4
173,2539330764.8
174,2539330764.8
175,2539330764.8
176,2539330764.8
177,2539330764.8
178,2539330764.8
179,2539384012.8
180,2539491328.0
181,2540032000.0
182,2540122112.0
183,2540189696.0
184,2540367462.4
185,2540367462.4
186,2540537446.4
187,2540537446.4
188,2540537446.4
189,2540691456.0
190,2540881510.4
191,2540881510.4
192,2540969984.0
193,2540969984.0
194,2540969984.0
195,2540969984.0
196,2541113344.0
197,2541113344.0
198,2541592985.6
199,2541660569.6
200,2541830553.6
201,2541830553.6
202,2541830553.6
203,2541788364.8
204,2541874380.8
205,2541874380.8
206,2542029619.2
207,2542029619.2
208,2542124646.4
209,2542204518.4
210,2542204518.4
211,2542307328.0
212,2542652211.2
213,2542652211.2
214,2542652211.2
215,2542652211.2
216,2542745600.0
217,2543077785.6
218,2543077785.6
219,2543078195.2
220,2543293235.2
221,2543293235.2
222,2543459942.4
223,2543532851.2
224,2543532851.2
225,2543982592.0
226,2543982592.0
227,2543982592.0
