index,mean
1,66409959.07855989
2,65887429.511228986
3,64521841.50184672
4,65117911.8909134
5,65820198.68977058
6,65377808.84413866
7,64340041.33076279
8,65275831.03523322
9,65854728.583331324
10,65197624.66121478
11,66507247.99322038
12,66075245.38060952
13,66089285.22591409
14,65448153.6170834
15,65505889.59855832
16,66205890.328377284
17,67235269.0770458
18,66745561.341180354
19,65479862.719525374
20,65417709.20319599
21,66067034.62166275
22,65894406.23422981
23,67214112.96469972
24,66699951.672677144
25,65556077.95173954
26,64797572.129326046
27,63972402.8352781
28,65735997.93389765
29,66424695.36353486
30,66540259.291447364
31,65160563.91724312
32,65341071.04927157
33,65962737.13457027
34,65471366.07854869
35,66076965.76671443
36,66034545.89550803
37,65944569.68635039
38,67037816.21692079
39,67016131.42872174
40,66782465.89566449
41,66477361.20949354
42,65967635.58147834
43,64734789.05475745
44,64477422.51159407
45,64478208.25090949
46,64234730.61695399
47,63606219.678021304
48,62663257.35768099
49,62793829.563677244
50,61796461.92506099
51,61376404.3574194
52,59765083.4870653
53,60369133.80744518
54,61370926.96008523
55,62248671.09158332
56,62584473.28988864
57,62340553.1175164
58,60914667.92289438
59,59910128.14423885
60,61174599.513011575
61,61213999.016603366
62,62924140.14906339
63,62580701.9866383
64,62847029.99140483
65,63175300.735801436
66,63060345.72756023
67,63200724.33390572
68,64079713.09830375
69,63999402.38608863
70,62034013.819964565
71,60917870.90146959
72,60966013.87647495
73,61307645.21319454
74,63872951.22679116
75,64145578.36121221
76,63503148.647488005
77,64460024.57262572
78,64241928.135127775
79,63733822.060155064
80,63770501.143773146
81,63518127.88154943
82,66233747.698117934
83,66327316.045704424
84,66715025.825310014
85,66995348.66035456
86,67174203.83134805
87,67293092.53338793
88,68277667.73177913
89,68634636.14761482
90,68552061.38289854
91,68775939.3954272
92,70782523.18944386
93,70524197.1382709
94,70828575.19204006
95,71975227.30524541
96,72357589.55190302
97,72381531.93601887
98,70790400.51948643
99,70894297.1667472
100,70958433.79673995
101,72343762.86530079
102,71067314.15202852
103,71356297.43317497
104,71427663.2524116
105,72113363.06128947
106,73391346.46906951
107,73946064.8553314
108,73259211.68344565
109,72079264.71195692
110,71692565.8496781
111,72988189.75099476
112,73237241.60194927
113,73301801.7516472
114,71965078.82562056
115,72738479.86892076
116,72255586.79985191
117,72781120.99329537
118,73513846.18684198
119,72938444.62747328
120,71139723.27698974
121,71525954.44518568
122,71335594.14155295
123,71870913.26422612
124,71333771.17122585
125,70955029.27067068
126,72419911.51979342
127,72865374.66981621
128,72792944.93366364
129,73329941.1497729
130,73982217.8978923
131,73982217.8978923
132,73461005.94223136
133,73225499.75031601
134,72708983.10124059
135,72264229.90002123
136,72244730.85673913
137,71454801.66584933
138,72618103.72974607
139,72617666.05483548
140,73153761.07116087
141,72023653.0893162
142,70003570.75534996
143,69688752.86299275
144,70295835.37816022
145,70961490.71201164
146,72089357.0768737
147,73275083.31355515
148,73196863.93307436
149,73926824.86541712
150,73353625.12688464
151,73292204.0563669
152,73226878.0225676
153,73397861.39858748
154,73397740.68191688
155,72727165.8193446
156,72379428.89024915
157,72382575.6602834
158,73386556.79500479
159,72679014.66637118
160,73300996.82043229
161,72343652.13869374
162,72826766.8978425
163,71544689.8544655
164,71254917.2784625
165,72274088.06195164
166,71611956.13839346
167,72219780.32370055
168,72830402.62832032
169,73493713.27349904
170,71965938.08533831
171,72354505.21597458
172,72788022.02350812
173,71581522.87676804
174,74058606.38284823
175,74066529.89143308
176,74081929.1307299
177,74081352.04765753
178,73577476.92013836
179,74107055.38971522
180,72332874.85431987
181,72168467.9856036
182,71698289.31831843
183,71711276.63256435
184,72412614.211343
185,71669462.7087007
186,71743042.97525394
187,71061246.58870682
188,72017742.21213236
189,72098194.13007662
190,72889576.47301763
191,74141664.63211752
192,74136560.51172008
193,73348631.19376099
194,73407552.22516903
195,72841897.93962394
196,72861769.50530414
197,72828388.7065103
198,72123412.16035232
199,72194509.146901
200,72983286.61883357
201,73091000.28362381
202,73123569.11713557
203,72492929.44005646
204,73635342.75465561
205,72887367.3077255
206,72853902.9113745
207,72312810.48355022
208,71796871.99757706
209,71359726.13568549
210,73521103.39759065
211,73481347.5965402
212,74266897.24510272
213,73736515.193032
214,73073640.08397108
215,72289019.67892651
216,69887238.57780658
217,70860155.82989976
218,71486905.7106904
219,73325258.27055068
220,73779563.17112039
221,73717636.56606534
222,73193349.2778646
223,73266138.90708295
224,72072133.05211392
225,72662325.17310514
226,74468558.46177192
227,73718725.22178403
