index,mean
1,1583441510.4
2,1584220979.2
3,1582625996.8
4,1582050099.2
5,1582050099.2
6,1582265139.2
7,1582340915.2
8,1582128332.8
9,1580988416.0
10,1580988416.0
11,1580306841.6
12,1581043712.0
13,1581043712.0
14,1581043712.0
15,1581268582.4
16,1582636236.8
17,1581762150.4
18,1581762150.4
19,1581414809.6
20,1581053132.8
21,1582297907.2
22,1582782464.0
23,1582782464.0
24,1583437414.4
25,1583682355.2
26,1583682355.2
27,1583682355.2
28,1584830464.0
29,1585604608.0
30,1585369497.6
31,1585442406.4
32,1585695539.2
33,1585695539.2
34,1584617472.0
35,1585446092.8
36,1585446092.8
37,1585446092.8
38,1583910092.8
39,1583910092.8
40,1584183296.0
41,1584412262.4
42,1586941542.4
43,1592316723.2
44,1610335027.2
45,1610427187.2
46,1610174054.4
47,1610174054.4
48,1610174054.4
49,1610174054.4
50,1609085747.2
51,1609362227.2
52,1611157504.0
53,1611157504.0
54,1611076403.2
55,1610174873.6
56,1625041715.2
57,1623071948.8
58,1622180659.2
59,1618337792.0
60,1617674240.0
61,1617674240.0
62,1618259968.0
63,1618259968.0
64,1618259968.0
65,1617368678.4
66,1617421926.4
67,1618429542.4
68,1618429542.4
69,1617525964.8
70,1618102681.6
71,1618080563.2
72,1618329600.0
73,1619435929.6
74,1622974873.6
75,1622577152.0
76,1623686348.8
77,1623686348.8
78,1623686348.8
79,1622819225.6
80,1625386188.8
81,1625386188.8
82,1627481702.4
83,1627962572.8
84,1627962572.8
85,1627331379.2
86,1629850419.2
87,1628663398.4
88,1629640704.0
89,1631410176.0
90,1631632179.2
91,1632005324.8
92,1631770214.4
93,1632021299.2
94,1633473740.8
95,1632533708.8
96,1631176294.4
97,1630514790.4
98,1629257728.0
99,1629257728.0
100,1630777344.0
101,1629829120.0
102,1631396249.6
103,1632091340.8
104,1632336691.2
105,1631995084.8
106,1631995084.8
107,1632789708.8
108,1632424345.6
109,1632424345.6
110,1632347750.4
111,1632969932.8
112,1632609484.8
113,1631407308.8
114,1631407308.8
115,1632850739.2
116,1632355942.4
117,1633713766.4
118,1635351347.2
119,1635351347.2
120,1635351347.2
121,1634894233.6
122,1637168742.4
123,1636752588.8
124,1637025382.4
125,1636281139.2
126,1637737676.8
127,1637778636.8
128,1640921497.6
129,1640921497.6
130,1640067481.6
131,1640067481.6
132,1640067481.6
133,1639131955.2
134,1639052083.2
135,1640142028.8
136,1640142028.8
137,1640391065.6
138,1641048473.6
139,1642259251.2
140,1639051673.6
141,1638599065.6
142,1638675251.2
143,1638675251.2
144,1638675251.2
145,1638214451.2
146,1638214451.2
147,1637500518.4
148,1638096486.4
149,1639108198.4
150,1638575718.4
151,1639997440.0
152,1639371980.8
153,1643615846.4
154,1643615846.4
155,1644294963.2
156,1644294963.2
157,1644294963.2
158,1645542195.2
159,1646836940.8
160,1648086630.4
161,1648086630.4
162,1646030028.8
163,1646601830.4
164,1646551859.2
165,1646551859.2
166,1646074675.2
167,1644257280.0
168,1644186828.8
169,1644566528.0
170,1644442009.6
171,1644205260.8
172,1642470195.2
173,1642470195.2
174,1640233779.2
175,1640233779.2
176,1640199782.4
177,1640486502.4
178,1640974745.6
179,1640974745.6
180,1640974745.6
181,1641764044.8
182,1642942054.4
183,1642942054.4
184,1643917721.6
185,1643917721.6
186,1646311424.0
187,1650160025.6
188,1650056806.4
189,1650568806.4
190,1650786713.6
191,1651613696.0
192,1652512358.4
193,1652899430.4
194,1653078425.6
195,1651145113.6
196,1651145113.6
197,1648573235.2
198,1647363686.4
199,1647331328.0
200,1647331328.0
201,1648368844.8
202,1648641638.4
203,1648641638.4
204,1650345574.4
205,1650575360.0
206,1652431667.2
207,1652431667.2
208,1652431667.2
209,1653376614.4
210,1653463859.2
211,1656020172.8
212,1656580096.0
213,1656580096.0
214,1657280921.6
215,1655631872.0
216,1657897779.2
217,1657629081.6
218,1658213990.4
219,1657839206.4
220,1658796032.0
221,1659527168.0
222,1659527168.0
223,1658546176.0
224,1658546176.0
225,1658546176.0
226,1655941529.6
227,1655966105.6
