index,mean
1,32709348.651134644
2,32765258.357258208
3,32826853.954510335
4,33311857.687273588
5,33321515.31330335
6,33321515.40658522
7,33326336.146655038
8,33326336.146655038
9,31917807.975281924
10,31310344.893568955
11,31920346.039845645
12,32115978.447495446
13,30847378.38545402
14,31462255.21020144
15,32850857.006859597
16,33325812.09708023
17,32814758.170646846
18,32856752.114369404
19,32804080.552817784
20,32750153.220538504
21,33348954.974289436
22,33346208.770061318
23,32728539.87126341
24,32791879.520030074
25,33363019.01037923
26,33367137.571207218
27,32845998.973458305
28,33380030.654607415
29,32878789.402739722
30,33368583.321363017
31,33361387.204368066
32,33365252.97554155
33,33365788.98071324
34,33364131.538776916
35,32808143.26831622
36,32746027.740219858
37,32645373.22498033
38,32139551.629268613
39,32015532.320775833
40,31010388.04460413
41,30717911.59218437
42,31357198.490655035
43,31029079.532984897
44,31522055.25831326
45,32015146.629076794
46,32015146.51542822
47,31951640.790631037
48,31200969.42458552
49,31471872.53034348
50,31813712.865664117
51,31823956.10039358
52,31867610.310614582
53,30374547.35306119
54,30305255.598334085
55,29857635.543815922
56,29662109.329599127
57,30052478.383446027
58,29476055.21836776
59,29767368.690100566
60,30282499.859138556
61,30239980.129869893
62,31644201.158801578
63,31667435.30036064
64,31831359.629754234
65,31754831.049786374
66,31898363.36825545
67,31930496.255634125
68,32043551.591674242
69,31413522.95833243
70,31380013.558422152
71,31250223.424022976
72,31857029.968260635
73,31803275.773965012
74,32213174.644804552
75,32105364.740011778
76,32227988.418998692
77,32398821.111381646
78,32438003.007980157
79,32395210.310073454
80,31948074.88574284
81,32109539.479654726
82,32104213.487973914
83,32495610.3908618
84,32130169.20934646
85,32375297.33876197
86,32745177.747458696
87,33411677.873962786
88,34021921.71868018
89,34070477.356559575
90,34067893.8277674
91,34272884.782233365
92,34354719.8362782
93,35321061.00831944
94,35641276.42980243
95,35207675.402202114
96,35206744.848944
97,35436423.859676234
98,35649591.34677053
99,36353232.47893616
100,36381892.83313701
101,35840251.38446647
102,35254255.305277035
103,35211099.25567036
104,35333199.69908336
105,35455300.14249636
106,35601184.78689232
107,36581038.23638796
108,36616849.15737369
109,36195772.787768625
110,36678931.992926754
111,36678931.992926754
112,36181389.85346767
113,36120220.425620124
114,35461114.766598254
115,36000051.09765959
116,35933185.345436156
117,35208808.03052809
118,35219328.76058724
119,35219328.76058724
120,35236935.841361955
121,36713915.40787795
122,36695609.77989109
123,36247180.22640444
124,35350659.98604339
125,35472619.25946855
126,35024859.87647974
127,35085462.73104648
128,36170653.70230796
129,36102331.0998694
130,36254990.24685368
131,36194147.61877743
132,34935757.94025521
133,34874915.31217896
134,35987799.77993747
135,36056654.1775861
136,36119593.09765582
137,36189587.2447545
138,36245267.696542926
139,36761877.21767788
140,36770514.473606154
141,36179523.729957014
142,36240914.72257154
143,36152021.67498964
144,36213547.85731211
145,36757268.17351413
146,36757268.17351413
147,36757268.17351413
148,36760600.28372977
149,36778573.10591468
150,36785161.74022587
151,36785161.74022587
152,36779669.7847093
153,36777074.91091865
154,36775733.93324836
155,36783590.427609764
156,35314889.22989046
157,36236962.07523402
158,35395594.76945933
159,35395454.20286835
160,35404990.74800395
161,35511209.161822386
162,35642001.23394715
163,35716219.248940736
164,36365255.89445254
165,35760362.80719694
166,36257098.892897606
167,35644988.65888096
168,36799665.22334551
169,36810377.43003709
170,35630326.26423051
171,35285250.63043008
172,35068834.05061543
173,35130626.93521159
174,36138112.67248741
175,36077140.38270885
176,36015275.821910515
177,35413937.11368011
178,36805582.360765345
179,36805582.360765345
180,36817203.455199786
181,35667827.63635079
182,35051604.43967309
183,35591675.79468133
184,35587960.91791543
185,36825092.8765884
186,36825092.8765884
187,36825092.8765884
188,36267007.79280174
189,36821320.96820375
190,36826790.1167323
191,36824440.03247724
192,36299952.81907225
193,36238369.86457101
194,35652804.61499424
195,35528779.49892731
196,36217031.11919023
197,36155383.257269226
198,36835799.869712226
199,36292398.00789948
200,36858395.08841196
201,36310513.20072795
202,36371864.07367667
203,36184473.072910935
204,36245984.43729569
205,35812596.877711974
206,36374267.13469426
207,36304676.706004724
208,36396224.30335843
209,36307946.31121418
210,36368912.25666401
211,36896155.40647689
212,36338708.88147146
213,36398098.95028732
214,36937161.995009914
215,36415419.25276493
216,36353644.54855972
217,36286479.36597695
218,35471818.498904265
219,34967384.687090516
220,36347217.30595706
221,35920290.44334204
222,36982190.651502445
223,36980209.5990027
224,35906304.02917907
225,35785361.355287574
226,34369618.50521841
227,36311561.78402054
