index,mean
1,2812098969.6
2,2812288204.8
3,2812288204.8
4,2812350873.6
5,2812350873.6
6,2812350873.6
7,2812516352.0
8,2812679372.8
9,2812846489.6
10,2812988620.8
11,2813079961.6
12,2813168844.8
13,2813168844.8
14,2813168844.8
15,2813168844.8
16,2813168844.8
17,2813258137.6
18,2813352755.2
19,2813352755.2
20,2813349068.8
21,2813430169.6
22,2813430169.6
23,2813525196.8
24,2813673472.0
25,2813759078.4
26,2813952000.0
27,2813952000.0
28,2813952000.0
29,2814079795.2
30,2814079795.2
31,2814079795.2
32,2814155980.8
33,2814217830.4
34,2814217830.4
35,2814255513.6
36,2814221107.2
37,2814221107.2
38,2814221107.2
39,2814115430.4
40,2814198169.6
41,2814302208.0
42,2814301798.4
43,2815755878.4
44,2815839027.2
45,2815844761.6
46,2815859507.2
47,2815859507.2
48,2817712128.0
49,2817712128.0
50,2817739161.6
51,2817748992.0
52,2817752268.8
53,2819299737.6
54,2819323084.8
55,2819330867.2
56,2821244518.4
57,2821342412.8
58,2822307840.0
59,2826260070.4
60,2826260070.4
61,2826420224.0
62,2826420224.0
63,2826616832.0
64,2826616832.0
65,2826616832.0
66,2826864230.4
67,2826950656.0
68,2826950656.0
69,2826950656.0
70,2827175116.8
71,2827302912.0
72,2827302912.0
73,2827302912.0
74,2827302912.0
75,2827531059.2
76,2827531059.2
77,2827687116.8
78,2828059852.8
79,2828059852.8
80,2828059852.8
81,2828059852.8
82,2828059852.8
83,2828293734.4
84,2828293734.4
85,2828648448.0
86,2828756582.4
87,2828756582.4
88,2828756582.4
89,2828845465.6
90,2828845465.6
91,2828845465.6
92,2828845465.6
93,2829064601.6
94,2829064601.6
95,2829517619.2
96,2829517619.2
97,2829651558.4
98,2829651558.4
99,2829651558.4
100,2829651558.4
101,2829793689.6
102,2829954252.8
103,2830231142.4
104,2830231142.4
105,2830231142.4
106,2830419968.0
107,2830498201.6
108,2830498201.6
109,2830498201.6
110,2830687846.4
111,2830687846.4
112,2830844723.2
113,2830844723.2
114,2831089254.4
115,2831089254.4
116,2831089254.4
117,2831089254.4
118,2831292416.0
119,2831578316.8
120,2831578316.8
121,2831733964.8
122,2831906406.4
123,2832267264.0
124,2832267264.0
125,2832267264.0
126,2832267264.0
127,2832267264.0
128,2832267264.0
129,2832267264.0
130,2832267264.0
131,2832267264.0
132,2832378675.2
133,2832567500.8
134,2832826777.6
135,2833138892.8
136,2833227366.4
137,2833543168.0
138,2833543168.0
139,2833543168.0
140,2833543168.0
141,2833543168.0
142,2833543168.0
143,2833543168.0
144,2833543168.0
145,2833644748.8
146,2833644748.8
147,2833644748.8
148,2833644748.8
149,2833720524.8
150,2834203033.6
151,2834477056.0
152,2834779340.8
153,2834779340.8
154,2834779340.8
155,2834779340.8
156,2834779340.8
157,2834779340.8
158,2834779340.8
159,2834779340.8
160,2834779340.8
161,2834837913.6
162,2834915328.0
163,2835032883.2
164,2835191398.4
165,2835316736.0
166,2835505152.0
167,2835665305.6
168,2835836928.0
169,2836034355.2
170,2836034355.2
171,2836034355.2
172,2836034355.2
173,2836034355.2
174,2836156416.0
175,2836156416.0
176,2836156416.0
177,2836264140.8
178,2836316160.0
179,2836474265.6
180,2836683571.2
181,2836826112.0
182,2836826112.0
183,2837032140.8
184,2837032140.8
185,2837032140.8
186,2837523660.8
187,2837523660.8
188,2837523660.8
189,2837523660.8
190,2837523660.8
191,2837836595.2
192,2837958246.4
193,2837958246.4
194,2837958246.4
195,2838153625.6
196,2838324838.4
197,2838450995.2
198,2838450995.2
199,2838541516.8
200,2838541516.8
201,2838793011.2
202,2838793011.2
203,2838905651.2
204,2838981017.6
205,2838981017.6
206,2838981017.6
207,2838981017.6
208,2838981017.6
209,2839116595.2
210,2839231283.2
211,2839472537.6
212,2840068505.6
213,2840068505.6
214,2840068505.6
215,2840068505.6
216,2840220876.8
217,2840220876.8
218,2840220876.8
219,2840220876.8
220,2840220876.8
221,2840220876.8
222,2840684953.6
223,2840684953.6
224,2840744345.6
225,2840744345.6
226,2840744345.6
227,2840813568.0
