index,mean
1,63698214.24089897
2,63416210.05388782
3,64022043.51097675
4,64652663.34068965
5,65673020.6268741
6,66095917.499011114
7,66054066.541981004
8,66865182.07069989
9,66866133.11876359
10,66869577.83896918
11,66350753.611977346
12,66874299.07747797
13,66906644.006095044
14,65887731.78140186
15,65760600.592889465
16,65699973.87299615
17,64424206.489943355
18,65572321.71658238
19,63556488.8206056
20,64243579.86987423
21,65744211.4080765
22,66365163.37596053
23,65763179.79510879
24,65621993.433421
25,65001547.12397123
26,66378994.96282967
27,66369590.042135045
28,65634544.721045285
29,66345022.748361364
30,65173099.12980912
31,65793918.787133
32,66533068.46439079
33,66505855.88020229
34,65964027.54459244
35,65878528.30156018
36,65096480.3519549
37,64502853.40598789
38,65493259.52196444
39,64438692.40576942
40,64428436.60087864
41,64613543.711039566
42,64371711.48891815
43,62694785.07489762
44,61906971.832372926
45,62390810.542731285
46,63173772.170419715
47,63535109.94676667
48,62774761.31750345
49,61958081.25513957
50,62116086.739917636
51,62117564.26909386
52,62149909.11729973
53,62197878.29029359
54,62135909.859626785
55,61692365.10040389
56,62201906.90978354
57,60982154.85828634
58,60964842.71539393
59,63376400.25749419
60,62754301.54881482
61,62185398.088675
62,61330901.52483583
63,62341016.85941519
64,62823739.63517633
65,62939129.63677886
66,63729249.60573505
67,63726077.543587886
68,62492847.3085771
69,62940126.96245067
70,64164416.45304557
71,62934164.315278344
72,63194008.9675264
73,61695207.92268393
74,63076221.88459228
75,64127084.987026244
76,64889158.21648022
77,64271521.277175605
78,65250245.475692414
79,65452954.61551403
80,66030225.79748408
81,66163313.18909922
82,66892572.22997831
83,67326776.2250505
84,66872259.883938
85,67289406.3316642
86,67110067.41831756
87,67891447.84921086
88,67891447.84921086
89,68163052.89069006
90,69460836.1573291
91,70200564.49229911
92,70253435.3608513
93,70274616.14576948
94,70851504.12222824
95,71254053.39100362
96,71122730.48024526
97,71070342.84369804
98,71735031.20396005
99,71862826.66818668
100,71574931.77171056
101,72124156.20433827
102,71643076.80872011
103,72294689.1939538
104,72059313.08752811
105,72086728.17580034
106,72921359.39394195
107,72986148.1390121
108,72525537.02387938
109,73093870.52435495
110,72504544.29549897
111,73124386.05530538
112,73249334.5288496
113,72630582.6982665
114,72529256.15074788
115,72541001.3143138
116,70880572.01385058
117,71364776.01586902
118,70740204.5171208
119,73218423.16884705
120,73156628.6015704
121,72537611.6800132
122,73773960.17106329
123,73800106.32118142
124,73807872.26839375
125,73811132.50854743
126,73158784.35565831
127,72696190.35604522
128,73275405.07993348
129,72714702.02581543
130,72483209.17997292
131,72114828.30915533
132,72632666.40367113
133,72641290.4684314
134,72652172.2950362
135,73184837.87277058
136,71959947.7132961
137,72663911.95449126
138,73273679.12512608
139,73345613.32051824
140,73176518.11822167
141,73238091.724579
142,73860194.10271546
143,72292162.40700223
144,73230235.02856089
145,73180455.97321878
146,71996726.97573893
147,71882574.75711031
148,72550890.33427297
149,72590627.93223575
150,72431502.42550835
151,71759605.22883534
152,73694690.58899589
153,73109556.8788101
154,73170715.82044204
155,73698851.16522858
156,72971627.37877727
157,73030580.7204819
158,70990424.20184284
159,69472304.37984833
160,69865872.3355718
161,67199541.36931407
162,69928318.22883056
163,70546721.26287077
164,71519819.36900721
165,70966918.1906248
166,72074320.68123546
167,73092947.65361235
168,73778997.77568774
169,73309068.64824918
170,73225121.0090951
171,73769169.37543711
172,73231636.51724905
173,73773167.68620715
174,73767512.81391491
175,72713421.09310086
176,73769669.36988707
177,73248800.61129946
178,71269141.14730427
179,70101707.14599964
180,71401838.29542859
181,70938159.17510231
182,71343019.1347384
183,73131321.60253227
184,73774512.2142028
185,73119111.19403273
186,73253627.63866201
187,73781721.30883422
188,72592566.60685728
189,71948175.67505883
190,72630678.41189586
191,72754777.69158526
192,73877058.79794545
193,73156438.84944497
194,72652672.7921184
195,72686012.2821495
196,73436155.83468667
197,74027504.61446163
198,74027504.61446163
199,74048594.97204642
200,73479654.5321755
201,73410529.03720158
202,73354895.91934161
203,71852855.4673301
204,72043992.54017773
205,70830181.60235532
206,71230612.02111623
207,71766244.08419098
208,72239930.93648724
209,71835398.82058948
210,71701427.89204353
211,72758822.14039668
212,73518987.49271907
213,73576337.8489063
214,74130224.32800281
215,74130224.32800281
216,74147283.30084121
217,74147283.30084121
218,73593904.77169944
219,73007918.76410535
220,72884073.47831917
221,72211727.3301799
222,72801326.90088089
223,72222362.46966326
224,72169251.74659525
225,71691795.13425188
226,71420074.42584683
227,69083032.2119633
